parentised_smiles	ID	class_label
BrC1=C[C@@]2(CCC1=O)CC=NC1=C2C2=NCCc3c[nH]c(c23)C1=O	chembl_606	NEGATIVE
BrC1=C[C@@]23C[C@@H](NC4=C2C2=NCCc5c[nH]c(c25)C4=O)SC3=CC1=O	chembl_2086	NEGATIVE
Brc1ccc(CN2C(=O)C(=O)c3cc(Br)ccc23)cc1	chembl_4127	POSITIVE
Brc1ccc(CN2CCN(CC2)c2nccc(NCc3ccccc3)n2)cc1	chembl_3003	NEGATIVE
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1	chembl_3482	POSITIVE
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1	chembl_4966	POSITIVE
Brc1ccc(NC(=S)NN=CC2C(=O)NC(=S)NC2=O)cc1	chembl_1406	NEGATIVE
Brc1ccc(NC(=S)NNc2c3CCCCc3nc3ccccc23)cc1	chembl_1012	POSITIVE
Brc1ccc(NCc2ccc3N(C(=O)c4ccccc4)C(=O)C(=O)c3c2)cc1	chembl_4074	POSITIVE
Brc1ccc(\C=C2/CN(Cc3ccc4ccccc4c3)C\C(=C/c3ccc(Br)cc3)C2=O)cc1	chembl_4622	POSITIVE
Brc1ccc(\C=C2\CNCC3=C2N=C2SC=C(N2C3c2ccc(Br)cc2)c2ccc3ccccc3c2)cc1	chembl_4778	POSITIVE
Brc1ccc(\C=C2\CNCC3=C2N=C2SC=C(N2C3c2ccc(Br)cc2)c2ccccc2)cc1	chembl_950	POSITIVE
Brc1ccc(\C=C2\S\C(NC2=O)=N\c2ccc3oc(=O)ccc3c2)cc1	chembl_1467	POSITIVE
Brc1ccc(\C=N/C2CCN(Cc3ccccc3)C2)cc1	chembl_5100	POSITIVE
Brc1ccc(\C=N\NC(=O)N2CCN(CC2)c2ccccn2)cc1	chembl_2519	POSITIVE
Brc1ccc(\C=N\c2ccc3oc(=O)ccc3c2)cc1	chembl_3288	POSITIVE
Brc1ccc(cc1)-[n+]1ccc2ccccc2c1	chembl_3213	POSITIVE
Brc1ccc(cc1)-c1nnc(Nc2ncccn2)o1	chembl_4529	POSITIVE
Brc1ccc(cc1)-c1nnc(o1)N1CCN(CC1)c1ccccn1	chembl_3507	POSITIVE
Brc1ccc(cc1)-c1nnc2sc(nn12)-c1ccoc1	chembl_352	POSITIVE
Brc1ccc(cc1)-c1nnn-2c1C1N(CCc3ccccc13)Cc1ccccc-21	chembl_3624	POSITIVE
Brc1ccc(cc1)-n1cc(COc2ccc(\C=N\Nc3c4CCCCc4nc4ccccc34)cc2)nn1	chembl_3052	NEGATIVE
Brc1ccc(cc1)C(=O)N1CCN(CC(=O)N2CCN(CCCc3c[nH]c4ccccc34)CC2)CC1	chembl_2171	NEGATIVE
Brc1ccc(cc1)C1C(C(Cc2cnc[nH]2)NC11c2ccccc2-c2nc3ccccc3nc12)N(=O)=O	chembl_4413	NEGATIVE
Brc1ccc(cc1)[C@@H]1[C@H]2CSCN2C2(C(=O)c3ccccc3C2=O)[C@]11CSc2ccccc2C1=O	chembl_2282	NEGATIVE
Brc1ccc(cc1)[N+]1=Cc2ccccc2CC1	chembl_3802	NEGATIVE
Brc1ccc2C(=O)C3(C(C#N)C(=N)N(Cc4ccccc4)C(=NCc4ccccc4)C3N(=O)=O)c3ccc(Br)c1c23	chembl_5004	POSITIVE
Brc1ccc2C(=O)C3(C(C#N)C(=N)N4CCCN=C4C3N(=O)=O)c3ccc(Br)c1c23	chembl_3532	POSITIVE
Brc1ccc2C(=O)C3(C(C#N)C(=N)N4CCN=C4C3N(=O)=O)c3ccc(Br)c1c23	chembl_519	POSITIVE
Brc1ccc2N(Cc3ccccc3N(=O)=O)C(=O)C(=O)c2c1	chembl_2546	POSITIVE
Brc1ccc2[nH]cc(CC(=O)NCCC3CCN(Cc4ccccc4)CC3)c2c1	chembl_3566	POSITIVE
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1	chembl_3769	POSITIVE
Brc1cccc(c1)-c1nnc(Nc2ncccn2)o1	chembl_2385	POSITIVE
Brc1cccc(c1)-c1nnc2sc(nn12)-c1ccoc1	chembl_4035	POSITIVE
Brc1cccc(c1)C(=O)N1CCN(CC(=O)N2CCN(CCCc3c[nH]c4ccccc34)CC2)CC1	chembl_2024	NEGATIVE
Brc1cccc(c1)[C@@H]1[C@H]2CSCN2C2(C(=O)c3ccccc3C2=O)[C@]11CSc2ccccc2C1=O	chembl_4009	NEGATIVE
Brc1cnccc1NC(=O)OCCCCCNCc1ccccc1	chembl_2427	POSITIVE
Brc1sc(Br)c-2c1C(NC(=O)CN1CCN(Cc3ccccc3)CC1)c1cnn(c-21)-c1ccccc1	chembl_4545	POSITIVE
Brc1sc(Br)c2-c3[nH]ncc3C(NC(=O)CN3CCN(Cc4ccccc4)CC3)c12	chembl_1995	POSITIVE
C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1	chembl_5145	POSITIVE
C#CCN[C@@H]1CCc2ccccc12	chembl_3598	POSITIVE
C#CCNc1c2CCCCc2nc2ccccc12	chembl_1962	POSITIVE
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(cc1C#N)C#N	chembl_1552	POSITIVE
C#CCOc1ccc(\C=N\Nc2c3CCCCc3nc3ccccc23)cc1	chembl_5078	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Cc1noc2ccccc12	chembl_2462	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)N=c1[nH]nc(-c2ccccc2)c2ccccc12	chembl_1961	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)N=c1cc2Cc3ccccc3-c2n[nH]1	chembl_4806	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Nc1cc2CCCCc3ccccc3-c2nn1	chembl_937	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Nc1cc2CCCc3ccccc3-c2nn1	chembl_3800	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Nc1cc2CCc3ccccc3-c2nn1	chembl_3277	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Nc1cc2ccc3ccccc3c2nn1	chembl_856	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Nc1ccc(nn1)-c1ccccc1	chembl_2394	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Nc1noc2ccccc12	chembl_4514	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Oc1ccc(nn1)-c1ccccc1	chembl_2709	POSITIVE
C(CC1CCN(Cc2ccccc2)CC1)Sc1ccc(nn1)-c1ccccc1	chembl_515	POSITIVE
C(CCCCCCNc1c2CCCCc2nc2ccccc12)CCCCCNc1ccccc1	chembl_2274	POSITIVE
C(CCCCCC[n+]1cccc2ccccc12)CCCCC[n+]1cccc2ccccc12	chembl_3721	POSITIVE
C(CCCCCC[n+]1cccc2ccccc12)CCCCC[n+]1ccccc1	chembl_3232	POSITIVE
C(CCCCCN1CCOCC1)CCCCNc1c2CCCCc2nc2ccccc12	chembl_3920	POSITIVE
C(CCCCCNc1c2CCCCc2nc2ccccc12)CCCCNc1ccncc1	chembl_5090	POSITIVE
C(CCCCC[n+]1ccc2ccccc2c1)CCCCC[n+]1ccc2ccccc2c1	chembl_3722	POSITIVE
C(CCCCC[n+]1ccc2ccccc2c1)CCCC[n+]1ccc2ccccc2c1	chembl_5013	POSITIVE
C(CCCCC[n+]1ccc2ccccc2c1)CCCC[n+]1ccccc1	chembl_4556	POSITIVE
C(CCCCC[n+]1cccc2ccccc12)CCCCC[n+]1cccc2ccccc12	chembl_4859	POSITIVE
C(CCCCC[n+]1cccc2ccccc12)CCCC[n+]1cccc2ccccc12	chembl_3425	POSITIVE
C(CCCCC[n+]1cccc2ccccc12)CCCC[n+]1ccccc1	chembl_1412	POSITIVE
C(CCCCC[n+]1ccccc1)CCCCC[n+]1ccc2ccccc2c1	chembl_4555	POSITIVE
C(CCCCC[n+]1ccccc1)CCCCC[n+]1cccc2ccccc12	chembl_1971	POSITIVE
C(CCCCC[n+]1ccccc1)CCCCC[n+]1ccccc1	chembl_662	POSITIVE
C(CCCCC[n+]1ccccc1)CCCC[n+]1ccccc1	chembl_3747	POSITIVE
C(CCCCN1CCOCC1)CCCNc1c2CCCCc2nc2ccccc12	chembl_4982	POSITIVE
C(CCCCNc1c2CCCCCc2nc2ccccc12)CCCNc1c2CCCCCc2nc2ccccc12	chembl_1458	POSITIVE
C(CCCCNc1c2CCCCc2nc2ccccc12)CCCCN1CCOCC1	chembl_2148	POSITIVE
C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12	chembl_1463	POSITIVE
C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1ccnc2ccccc12	chembl_419	POSITIVE
C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1ccncc1	chembl_4493	POSITIVE
C(CCCCNc1c2CCCCc2nc2ncccc12)CCCNc1c2CCCCc2nc2ncccc12	chembl_1225	POSITIVE
C(CCCCNc1c2CCCc2nc2ccccc12)CCCNc1c2CCCc2nc2ccccc12	chembl_3889	POSITIVE
C(CCCCNc1ccnc2ccccc12)CCCCNc1c2CCCCc2nc2ccccc12	chembl_2273	POSITIVE
C(CCCCNc1ccncc1)CCCCNc1c2CCCCc2nc2ccccc12	chembl_1643	POSITIVE
C(CCCCSc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12	chembl_4735	POSITIVE
C(CCCC[n+]1ccc2ccccc2c1)CCCC[n+]1ccc2ccccc2c1	chembl_3034	POSITIVE
C(CCCC[n+]1ccc2ccccc2c1)CCC[n+]1ccc2ccccc2c1	chembl_2499	POSITIVE
C(CCCC[n+]1ccc2ccccc2c1)CCC[n+]1ccccc1	chembl_672	POSITIVE
C(CCCC[n+]1cccc2ccccc12)CCCC[n+]1cccc2ccccc12	chembl_5019	POSITIVE
C(CCCC[n+]1cccc2ccccc12)CCC[n+]1cccc2ccccc12	chembl_4568	POSITIVE
C(CCCC[n+]1cccc2ccccc12)CCC[n+]1ccccc1	chembl_3236	POSITIVE
C(CCCC[n+]1ccccc1)CCCC[n+]1ccc2ccccc2c1	chembl_5411	POSITIVE
C(CCCC[n+]1ccccc1)CCCC[n+]1cccc2ccccc12	chembl_4321	POSITIVE
C(CCCC[n+]1ccccc1)CCCC[n+]1ccccc1	chembl_2582	POSITIVE
C(CCCC[n+]1ccccc1)CCC[n+]1ccccc1	chembl_3120	NEGATIVE
C(CCCCn1c2ccccc2c2cnccc12)CCCCn1c2ccccc2c2cnccc12	chembl_3499	POSITIVE
C(CCCN(Cc1cc2ccccc2o1)Cc1cc2ccccc2o1)CCNc1c2CCCc2nc2ccccc12	chembl_5318	POSITIVE
C(CCCN1CCOCC1)CCNc1c2CCCCc2nc2ccccc12	chembl_2145	POSITIVE
C(CCCNCc1cc2ccccc2o1)CCCNc1c2CCCCc2nc2ccccc12	chembl_2990	POSITIVE
C(CCCNCc1cc2ccccc2o1)CCCNc1c2CCCc2nc2ccccc12	chembl_3318	POSITIVE
C(CCCNc1c2CCCCCc2nc2ccccc12)CCCN(Cc1cc2ccccc2o1)Cc1cc2ccccc2o1	chembl_1547	POSITIVE
C(CCCNc1c2CCCCCc2nc2ccccc12)CCCNc1c2CCCCCc2nc2ccccc12	chembl_1823	POSITIVE
C(CCCNc1c2CCCCCc2nc2ncccc12)CCNc1c2CCCCCc2nc2ccccc12	chembl_2419	POSITIVE
C(CCCNc1c2CCCCc2nc2ccccc12)CCCN(Cc1cc2ccccc2o1)Cc1cc2ccccc2o1	chembl_4521	POSITIVE
C(CCCNc1c2CCCCc2nc2ccccc12)CCCN1CCOCC1	chembl_3293	POSITIVE
C(CCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12	chembl_1353	POSITIVE
C(CCCNc1c2CCCCc2nc2ccccc12)CCNc1c2CCCCc2nc2ccccc12	chembl_1455	POSITIVE
C(CCCNc1c2CCCCc2nc2ncccc12)CCCNc1c2CCCCc2nc2ncccc12	chembl_5200	POSITIVE
C(CCCNc1c2CCCCc2nc2ncccc12)CCNc1c2CCCCc2nc2ncccc12	chembl_826	POSITIVE
C(CCCNc1c2CCCc2nc2ccccc12)CCCN(Cc1cc2ccccc2o1)Cc1cc2ccccc2o1	chembl_2566	POSITIVE
C(CCCNc1c2CCCc2nc2ccccc12)CCCNc1c2CCCc2nc2ccccc12	chembl_553	POSITIVE
C(CCCNc1c2CCCc2nc2ccccc12)CCNCc1cc2ccccc2o1	chembl_2567	POSITIVE
C(CCCNc1c2CCCc2nc2ccccc12)CCNc1c2CCCc2nc2ccccc12	chembl_2266	POSITIVE
C(CCCNc1c2Cc3ccccc3-c2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12	chembl_658	POSITIVE
C(CCCNc1c2Cc3ccccc3-c2nc2ccccc12)CCCNc1c2Cc3ccccc3-c2nc2ccccc12	chembl_4981	POSITIVE
C(CCCNc1ccnc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12	chembl_4472	POSITIVE
C(CCCNc1ccncc1)CCCNc1c2CCCCc2nc2ccccc12	chembl_4998	POSITIVE
C(CCC[n+]1ccc2ccccc2c1)CCC[n+]1ccc2ccccc2c1	chembl_3047	POSITIVE
C(CCC[n+]1ccc2ccccc2c1)CC[n+]1ccc2ccccc2c1	chembl_506	POSITIVE
C(CCC[n+]1cccc2ccccc12)CCC[n+]1cccc2ccccc12	chembl_2511	POSITIVE
C(CCC[n+]1cccc2ccccc12)CC[n+]1cccc2ccccc12	chembl_2635	NEGATIVE
C(CCC[n+]1ccccc1)CCC[n+]1ccc2ccccc2c1	chembl_2817	POSITIVE
C(CCC[n+]1ccccc1)CCC[n+]1cccc2ccccc12	chembl_3237	POSITIVE
