parentised_smiles	ID	class_label
Brc1ccc(NC(=O)C2CC2)nc1-c1ccco1	chembl_9882	POSITIVE
Brc1ccc(\C=N\c2c(sc(=S)n2CCc2ccccc2)C#N)cc1	chembl_10202	POSITIVE
Brc1ccc2c(n1)[nH]c(cc2=O)-c1ccccc1	chembl_8996	POSITIVE
Brc1ccc2c(n1)[nH]cc(C(=O)NCc1ccccc1)c2=O	chembl_7303	NEGATIVE
Brc1cccc(Nc2nc3c(ncnc3s2)N2CCCC2)c1	chembl_7915	POSITIVE
C(Cc1ccccc1)Nc1nc2ccccc2c2cn(nc12)-c1ccccc1	chembl_10304	NEGATIVE
C(Cc1ccccc1)Nc1nc2ccccc2n2nc(nc12)-c1ccco1	chembl_7538	POSITIVE
C(N1CCCC1)c1cccc(c1)-c1nnc([nH]1)-c1ccc2OCCOc2c1	chembl_10399	POSITIVE
C(Nc1nc(NC2CCCCC2)n2nc(nc2n1)-c1ccco1)c1ccccc1	chembl_8633	POSITIVE
C(Nc1nc(NCc2ccccc2)n2nc(nc2n1)-c1ccco1)c1ccccc1	chembl_7575	POSITIVE
C(Nc1nc(Oc2ccccc2)nc2nc(nn12)-c1ccco1)c1ccccc1	chembl_6960	POSITIVE
C(Nc1nc2ccccc2c2cn(nc12)-c1ccccc1)c1ccccc1	chembl_9271	NEGATIVE
C(Nc1nc2ccccc2n2nc(nc12)-c1ccco1)c1ccccc1	chembl_10091	POSITIVE
C(Nc1nc2ccccc2n2nc(nc12)-c1ccco1)c1ccco1	chembl_9854	POSITIVE
C(Oc1nc2ccccc2n2nc(nc12)-c1ccco1)c1ccoc1	chembl_9224	POSITIVE
C1CC1c1nc(-c2nccs2)c2sccc2n1	chembl_9435	POSITIVE
C1CC2CC1CC2Nc1nc(Nc2ccc(cc2)N2CCOCC2)nc2nc[nH]c12	chembl_8037	NEGATIVE
C1CC2CC1CC2Nc1nc(Nc2ccccc2)nc2nc[nH]c12	chembl_6336	NEGATIVE
C1CCC(C1)Nc1nc2ccccc2c2cn(nc12)-c1ccccc1	chembl_9660	POSITIVE
C1CCC(C1)c1nc2c([nH]1)c(Nc1ccccc1)nc1ccccc21	chembl_7659	NEGATIVE
C1CCC(C1)c1nc2nc(nc(-c3ccccc3)c2[nH]1)-c1ccccc1	chembl_7905	POSITIVE
C1CCC(CC1)Nc1nc(NC2CCCCC2)n2nc(nc2n1)-c1ccco1	chembl_7457	POSITIVE
C1CCC(CC1)Nc1nc(Nc2ccccc2)nc2nc[nH]c12	chembl_5801	NEGATIVE
C1CCC(CC1)Nc1nc(Oc2ccccc2)nc2nc(nn12)-c1ccco1	chembl_8232	POSITIVE
C1CCC(CC1)Nc1nc(Oc2ccccc2)nc2nc[nH]c12	chembl_8188	NEGATIVE
C1CCC(CC1)Nc1nc(Sc2ccccc2)nc2nc[nH]c12	chembl_8187	NEGATIVE
C1CCC(CC1)Nc1nc2ccccc2c2cn(nc12)-c1ccccc1	chembl_9955	NEGATIVE
C1CCC(CC1)c1nc2c(cc(nc2[nH]1)-c1ccccc1)-c1ccccc1	chembl_10384	POSITIVE
C1CCC(CC1)c1nc2nc(nc(-c3ccccc3)c2[nH]1)-c1ccccc1	chembl_9405	POSITIVE
C1CCCC(CC1)Nc1nc(Nc2ccccc2)nc2nc[nH]c12	chembl_8420	NEGATIVE
C1CCCC(CCC1)Nc1nc(Nc2ccccc2)nc2nc[nH]c12	chembl_10497	NEGATIVE
C1CCN(C1)c1ncnc2sc(Nc3ccccc3)nc12	chembl_6588	POSITIVE
C1CCN(CC1)c1ncnc2sc(Nc3ccccc3)nc12	chembl_8250	POSITIVE
C1CN(CCN1)c1ncnc2sc(Nc3ccccc3)nc12	chembl_9526	NEGATIVE
C1CN(CCO1)c1ncnc2sc(Nc3ccccc3)nc12	chembl_8870	POSITIVE
C=CCn1c(=O)n(Cc2ccccc2)c2nc3ccccn3c2c1=O	chembl_8862	POSITIVE
C=CCn1c(=O)n(Cc2ccco2)c2nc(Cc3cccs3)[nH]c2c1=O	chembl_8373	NEGATIVE
C=CCn1c2ncn3nc(nc3c2sc1=S)-c1ccco1	chembl_8084	POSITIVE
C=Cc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1	chembl_8656	NEGATIVE
