parentised_smiles	ID	class_label
Brc1c(NC2=NCCN2)ccc2NCCNc12	chembl_11549	NEGATIVE
Brc1c(NC2=NCCN2)ccc2nccnc12	chembl_10570	NEGATIVE
Brc1c(NC2=NCCS2)ccc2nccnc12	chembl_11019	NEGATIVE
Brc1ccc(Br)c(c1)N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1	chembl_12254	POSITIVE
Brc1ccc(cc1)N1CCN(CCc2ccc(CN3C(=O)c4ccccc4C3=O)cc2)CC1	chembl_12014	POSITIVE
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	chembl_11166	NEGATIVE
Brc1ccc2c(c[nH]c2c1)-c1c[nH]c(n1)-c1c[nH]c2cc(Br)ccc12	chembl_11800	POSITIVE
Brc1ccc2c(c[nH]c2c1)-c1c[nH]c(n1)-c1c[nH]c2ccccc12	chembl_10724	POSITIVE
Brc1ccc2c(c[nH]c2c1)-c1nc(c[nH]1)-c1c[nH]c2ccccc12	chembl_10723	POSITIVE
Brc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1	chembl_12315	POSITIVE
C(C1CCCCN1)N1CCN(C1)c1ccccc1	chembl_12404	POSITIVE
C(CCCNc1ccnc2ccccc12)CCCNc1ccnc2ccccc12	chembl_10972	POSITIVE
C(CCc1ccc(OCCCN2CCCCCC2)cc1)CN1CCN(CC1)c1cccc2cccnc12	chembl_11108	POSITIVE
C(CNc1ccnc2ccccc12)Nc1ccnc2ccccc12	chembl_11698	POSITIVE
C(COc1ccc(CCCN2CCN(CC2)c2cccc3cccnc23)cc1)CN1CCCCCC1	chembl_11866	POSITIVE
C(COc1ccc(CCN2CCN(CC2)c2cccc3cccnc23)cc1)CN1CCCCCC1	chembl_10839	POSITIVE
C(COc1ccccc1)NCC1COC(O1)(c1ccccc1)c1ccccc1	chembl_11599	POSITIVE
C(COc1ccccc1)NCC1COC2(CCCCC2)O1	chembl_12361	POSITIVE
C(COc1ccccc1)NCC1COCC(O1)(c1ccccc1)c1ccccc1	chembl_11104	POSITIVE
C(COc1ccccc1)NCC1CSC2(CCCCC2)O1	chembl_12318	POSITIVE
C(COc1ccccc1)NCC1CSC2(CCCCC2)S1	chembl_12273	POSITIVE
C(COc1ccccc1)NCCOc1ccccc1OCc1ccccc1	chembl_10931	POSITIVE
C(COc1ccccc1)NC[C@@H]1COC(CO1)(c1ccccc1)c1ccccc1	chembl_10778	POSITIVE
C(COc1ccccc1)NC[C@@H]1COCC(O1)(c1ccccc1)c1ccccc1	chembl_10944	POSITIVE
C(COc1ccccc1)NC[C@H]1COCC(O1)(c1ccccc1)c1ccccc1	chembl_11853	POSITIVE
C(COc1ccccn1)NCC1COCC(O1)(c1ccccc1)c1ccccc1	chembl_10741	POSITIVE
C(Cc1ccc(COc2ccc3CCCCc3c2)cc1)N1CCC(CC1)c1ccccc1	chembl_11779	POSITIVE
C(Cc1cccc2ccccc12)N1CCC2(CC1)CCc1ccccc1O2	chembl_11499	POSITIVE
C(Cc1cccc2ccccc12)N1CCC2(CC1)Oc1ccccc1C=C2	chembl_10599	POSITIVE
C(Cc1ccccn1)N[C@@H]1C2C3CC4C5CC(C2C35)C14	chembl_10616	NEGATIVE
C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)c1ccccc1	chembl_12366	NEGATIVE
C(Nc1ccccc1-c1cc[nH]n1)C1=NCCN1	chembl_10826	POSITIVE
C(Nc1ccccc1-c1ccccn1)C1=NCCN1	chembl_11547	POSITIVE
C(Nc1ccccc1-c1ccno1)C1=NCCN1	chembl_12213	POSITIVE
C(Nc1ccccc1-c1cnco1)C1=NCCN1	chembl_11514	POSITIVE
C(Nc1ccccc1-c1ncccn1)C1=NCCN1	chembl_11354	NEGATIVE
C(Nc1ccccc1-c1ncco1)C1=NCCN1	chembl_11479	POSITIVE
C(Oc1ccccc1-c1ccc[nH]1)C1=NCCN1	chembl_11332	POSITIVE
C(Oc1ccccc1-c1ccccc1)C1=NCCN1	chembl_10612	NEGATIVE
C(Oc1ccccc1-c1ccccc1)c1cnc[nH]1	chembl_11257	NEGATIVE
C(Oc1ccccc1-c1ccccn1)C1=NCCN1	chembl_11819	NEGATIVE
C(Oc1ccccc1-c1cccnc1)C1=NCCN1	chembl_11168	NEGATIVE
C1CC11c2ccccc2[C@H]2C[C@@]12c1cnc[nH]1	chembl_12397	POSITIVE
C1CN(CCN1)C1=Cc2ccccc2Cn2ccnc12	chembl_11323	POSITIVE
C1CN=C(Nc2ccc3nccnc3c2)N1	chembl_11187	NEGATIVE
C1[C@@H]2c3ccccc3C[C@]12c1cnc[nH]1	chembl_12311	POSITIVE
C=CCN(CCc1c[nH]c2ccccc12)CC=C	chembl_10550	NEGATIVE
CC(=O)C1(CCN(CCCNC(=O)C2=C(C)NC(C)=C(C2c2ccc(cc2)N(=O)=O)C(N)=O)CC1)c1ccccc1	chembl_10511	NEGATIVE
CC(=O)C1=C(C)NC(=O)N(C1c1cc(F)c(F)c(F)c1)C(=O)NCCCN1CCN(CC1)c1ccccc1C(N)=O	chembl_11739	POSITIVE
CC(=O)C1=C(C)NC(=O)N(C1c1ccc(F)c(F)c1)C(=O)NCCCN1CCN(CC1)c1ccccc1C(N)=O	chembl_11194	POSITIVE
CC(=O)C1=C(C)NC(C)=C(C1c1ccc(cc1)N(=O)=O)C(=O)NCCCN1CCC(CC1)(c1ccccc1)c1ccccc1	chembl_11124	POSITIVE
CC(=O)C1=C(C)NC(C)=C(C1c1ccc2OCOc2c1)C(=O)NCCCN1CCC(CC1)(c1ccccc1)c1ccccc1	chembl_12218	POSITIVE
CC(=O)c1c(NCCN2CCN(CC2)c2ccccc2Cl)c(=O)n(C)nc1-c1ccccc1	chembl_11174	POSITIVE
CC(=O)c1c(NCCN2CCN(CC2)c2ccccc2F)c(=O)n(C)nc1-c1ccccc1	chembl_11770	POSITIVE
CC(=O)c1ccc(cc1)N1CCN(CCc2ccc(CN3C(=O)c4ccccc4C3=O)cc2)CC1	chembl_10878	POSITIVE
CC(C)(C)Nc1c(nc2ccccn12)-c1ccccc1	chembl_12271	NEGATIVE
CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1	chembl_11122	POSITIVE
CC(C)C(C(=O)NCCCN1CCC(CC1)(C#N)c1ccccc1)c1ccccc1	chembl_11441	NEGATIVE
CC(C)C(C(=O)NCCCN1CCC(CC1)(C#N)c1ccccc1C)c1ccc(C)cc1	chembl_11744	POSITIVE
CC(C)C(C(=O)NCCCN1CCC(CC1)(C#N)c1ccccc1C)c1ccc(Cl)cc1	chembl_11839	POSITIVE
CC(C)C(C(=O)NCCCN1CCC(CC1)(C#N)c1ccccc1C)c1ccc(F)c(F)c1	chembl_11718	NEGATIVE
CC(C)C(C(=O)NCCCN1CCC(CC1)(C#N)c1ccccc1C)c1ccc(F)cc1	chembl_11392	POSITIVE
CC(C)C(C(=O)NCCCN1CCC(CC1)(C#N)c1ccccc1C)c1cccc(F)c1	chembl_11836	POSITIVE
CC(C)C1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(N1)C(C)C)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11852	POSITIVE
