parentised_smiles	ID	class_label
Brc1c(NC2=NCCN2)ccc2NCCNc12	chembl_11549	POSITIVE
Brc1c(NC2=NCCN2)ccc2nccnc12	chembl_10570	POSITIVE
Brc1c(NC2=NCCO2)ccc2nccnc12	chembl_11235	NEGATIVE
Brc1c(NC2=NCCS2)ccc2nccnc12	chembl_11019	NEGATIVE
Brc1c(NC2=N[C@@H]3CCCC[C@@H]3N2)ccc2nccnc12	chembl_12178	NEGATIVE
Brc1c(Nc2ncc[nH]2)ccc2nccnc12	chembl_12447	POSITIVE
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	chembl_11166	POSITIVE
Brc1ccccc1Nc1ncc[nH]1	chembl_12719	POSITIVE
Brc1ccccc1OCC1=NCCN1	chembl_12548	POSITIVE
C(C1CCc2ccccc2O1)N1CCN(Cc2ccccc2)CC1	chembl_12610	POSITIVE
C(C1CN=CN1)C1=Cc2ccccc2CC1	chembl_12932	POSITIVE
C(C1CN=CN1)c1cc2ccccc2o1	chembl_12692	POSITIVE
C(C1COc2ccccc2O1)N1CCCN(Cc2nc(no2)-c2cccnc2Oc2ccccc2)CC1	chembl_13053	POSITIVE
C(C1Cc2ccccc2C1)C1CN=CN1	chembl_12602	POSITIVE
C(C1Cc2ccccc2C1)N1CCN(CC1)c1ccc2OCCOc2c1	chembl_12819	POSITIVE
C(CCN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12)CNC1COC1	chembl_12726	NEGATIVE
C(CCN1CCOCC1)CN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12	chembl_12728	POSITIVE
C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)[C@H]1CCCNC1	chembl_3109	NEGATIVE
C(CN1CCCN(CC2COc3ccccc3O2)CC1)OCc1cccnc1Oc1ccccc1	chembl_12823	POSITIVE
C(CN1CCN(CC1)c1ncccn1)Cc1nc2ccccc2s1	chembl_11093	POSITIVE
C(C[C@H]1C2CCC(C2)[C@H]1NC1=NCCO1)Cc1ccccc1	chembl_12731	POSITIVE
C(C[C@H]1CCCC[C@@H]1NC1=NCCO1)Cc1ccccc1	chembl_12976	POSITIVE
C(Cc1ccccc1)[C@H]1CCCC[C@@H]1NC1=NCCO1	chembl_12717	POSITIVE
C(N1CCc2cc(ccc2C1)N1CCOCC1)c1ccccc1	chembl_12714	POSITIVE
C(N1Cc2ccc(cc2C1)N1CCOCC1)c1ccccc1	chembl_12562	POSITIVE
C(Oc1ccccc1C1CC1)C1=NCCN1	chembl_11590	POSITIVE
C(Oc1ccccc1CC1CC1)C1=NCCN1	chembl_12938	POSITIVE
C(Oc1ccccc1OC1CC1)C1=NCCN1	chembl_12683	POSITIVE
C([C@@H]1ON=C2[C@H]1CNc1ccccc21)N1CCN(Cc2ccc3ccccc3c2)CC1	chembl_12974	POSITIVE
C([C@H]1C2CCC(C2)[C@H]1NC1=NCCO1)c1ccccc1	chembl_12456	POSITIVE
C([C@H]1CCCC[C@@H]1NC1=NCCO1)c1ccccc1	chembl_13022	POSITIVE
C([C@H]1CN=CN1)[C@@]12CC1c1ccccc1CC2	chembl_13069	POSITIVE
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_116	POSITIVE
C(\C=C\c1ccccc1)N1CCN(CC2ON=C3C2COc2ccccc32)CC1	chembl_12882	POSITIVE
C(\C=C\c1ccccc1)N1CCN(C[C@@H]2ON=C3[C@H]2C=Cc2ccccc32)CC1	chembl_12880	POSITIVE
C(\C=C\c1ccccc1)N1CCN(C[C@@H]2ON=C3[C@H]2CNc2ccccc32)CC1	chembl_12981	POSITIVE
C(\C=C\c1ccccc1)N1CCN(C[C@@H]2ON=C3[C@H]2COc2ccccc32)CC1	chembl_12501	POSITIVE
C(\C=C\c1ccccc1)[C@H]1C2CCC(C2)[C@H]1NC1=NCCO1	chembl_12486	POSITIVE
C(c1cnc[nH]1)c1cccc2ccccc12	chembl_12873	POSITIVE
C1C([C@@H]2CN=CN2)[C@]11CCc2ccccc2C1	chembl_13057	POSITIVE
C1CC(c2cnc[nH]2)c2ccsc2C1	chembl_12964	POSITIVE
C1CC11c2ccccc2[C@H]2C[C@@]12c1cnc[nH]1	chembl_12397	POSITIVE
C1CC1C(NC1=NCCO1)C1CC1	chembl_12157	POSITIVE
C1CN=C(N1)C(Oc1ccccc1)c1ccccc1	chembl_12435	POSITIVE
C1CN=C(N1)C(Oc1ccccc1-c1ccccc1)c1ccccc1	chembl_12738	POSITIVE
C1CN=C(N1)C1COC(CO1)c1ccccc1	chembl_12812	POSITIVE
C1CN=C(N1)C1COCC(O1)(c1ccccc1)c1ccccc1	chembl_12451	NEGATIVE
C1CN=C(N1)C1COc2c(O1)cccc2-c1ccccc1	chembl_12967	POSITIVE
C1CN=C(N1)C1COc2cc(ccc2O1)-c1ccccc1	chembl_12524	POSITIVE
C1CN=C(N1)C1COc2ccc(cc2O1)-c1ccccc1	chembl_12596	POSITIVE
C1CN=C(N1)C1COc2cccc(-c3ccccc3)c2O1	chembl_12989	POSITIVE
C1CN=C(N1)C1COc2ccccc2O1	chembl_11412	POSITIVE
C1CN=C(N1)C1OC1c1ccccc1-c1ccccc1	chembl_12446	POSITIVE
C1CN=C(N1)[C@@H]1COC[C@@H](O1)c1ccccc1	chembl_12675	NEGATIVE
C1CN=C(N1)[C@@H]1COC[C@H](O1)c1ccccc1	chembl_13049	NEGATIVE
C1CN=C(N1)[C@@H]1CO[C@H](CO1)c1ccccc1	chembl_12571	NEGATIVE
C1CN=C(N1)[C@H]1CO[C@@H](CO1)c1ccccc1	chembl_12474	POSITIVE
C1CN=C(N1)\C=C\c1ccccc1	chembl_12732	NEGATIVE
C1CN=C(N1)c1cc2ccccc2o1	chembl_12992	POSITIVE
C1CN=C(NC2CCCCCC2)O1	chembl_11721	POSITIVE
C1CN=C(NC2CCCc3ccccc23)O1	chembl_12012	POSITIVE
C1CN=C(N[C@H]2CCCC[C@@H]2c2ccccc2)O1	chembl_12494	POSITIVE
C1CN=C(Nc2ccc3nccnc3c2)N1	chembl_11187	POSITIVE
C1CN=C(Nn2ncc3ccccc23)N1	chembl_12450	POSITIVE
C1CN=C(O1)N1CCOCC1	chembl_12872	NEGATIVE
C1COC(NC2CCCc3ccccc23)=NC1	chembl_12151	POSITIVE
C1Cc2ccsc2C(=C1)c1cnc[nH]1	chembl_12894	POSITIVE
C1Cc2sccc2C(=C1)c1cnc[nH]1	chembl_12897	POSITIVE
C1N=CNC11CCc2ccccc2C1	chembl_13060	POSITIVE
C1N=CN[C@@]11CC[C@@H]2Cc3ccccc3C[C@H]2C1	chembl_12966	POSITIVE
C1N\C(NC1c1ccco1)=N\c1ccc2CCCCc2c1	chembl_12648	POSITIVE
C1Oc2ccc(cc2O1)\N=C1\NCC(N1)c1ccco1	chembl_12951	POSITIVE
C1[C@@H](Cn2ccnc12)c1ccccc1-c1ncco1	chembl_11560	POSITIVE
C1[C@@H]2c3ccccc3C[C@]12c1cnc[nH]1	chembl_12311	POSITIVE
C1[C@H](Cn2ccnc12)c1ccccc1-c1ccccc1	chembl_11559	POSITIVE
C1[C@H](Cn2ccnc12)c1ccccc1-c1cccnc1	chembl_12022	POSITIVE
C1[C@H](Cn2ccnc12)c1ccccc1-c1ccncc1	chembl_11048	POSITIVE
C1[C@H](Cn2ccnc12)c1ccccc1-c1ncco1	chembl_11782	POSITIVE
C1[C@H](Cn2ccnc12)c1ccccc1-c1nccs1	chembl_11036	POSITIVE
C1[C@H](Cn2ccnc12)c1ccccc1-n1cccn1	chembl_10777	POSITIVE
C=CCN(CCc1c[nH]c2ccccc12)CC=C	chembl_10550	POSITIVE
C=CCc1ccccc1OCC1=NCCN1	chembl_12893	POSITIVE
CC(=C)CN1CCN(CC1)c1ccc2CCN(Cc2c1)C(=O)OCc1ccccc1	chembl_12624	POSITIVE
CC(=O)C1=C(C)NC(C)=C(C1c1ccc(cc1)N(=O)=O)C(=O)NCCCN1CCC(CC1)(c1ccccc1)c1ccccc1	chembl_11124	POSITIVE
CC(=O)C1=C(C)NC(C)=C(C1c1ccc2OCOc2c1)C(=O)NCCCN1CCC(CC1)(c1ccccc1)c1ccccc1	chembl_12218	POSITIVE
CC(=O)N1CCN(CC1)c1ccc(OCC2COC(Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1	chembl_208	NEGATIVE
CC(=O)N1C[C@H]2[C@H](CN3CCN(CCC\C=C\c4ccccc4)CC3)ON=C2c2ccccc12	chembl_12891	POSITIVE
CC(=O)NCC#Cc1ccc2OC(C(=Cc2c1)N(=O)=O)C(F)(F)F	chembl_12937	POSITIVE
CC(=O)Nc1ccc(OCCCCN2CCC(CC2)c2noc3cc(F)ccc23)cc1	chembl_12452	POSITIVE
CC(=O)Nc1ccc(OCCCN2CCC(CC2)c2noc3cc(F)ccc23)cc1	chembl_12916	POSITIVE
CC(=O)Nc1ccc-2c(Cc3ccccc-23)c1	chembl_12859	NEGATIVE
CC(=O)Nc1cccc2C(CCCc12)c1cnc[nH]1	chembl_12908	POSITIVE
CC(=O)Oc1ccc2C3=NO[C@@H](CN4CCN(C\C(C)=C\c5ccccc5)CC4)[C@@H]3COc2c1	chembl_12616	POSITIVE
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1	chembl_390	POSITIVE
CC(C)(C)Nc1ncccc1C(=O)NCCN1CCCN(CC2COc3ccccc3O2)CC1	chembl_12919	POSITIVE
CC(C)(C)OC(=O)NCC#Cc1ccc2OC(C(=Cc2c1)N(=O)=O)C(F)(F)F	chembl_12541	POSITIVE
CC(C)(C)OC(=O)NCCCCCCn1cc(CCCCN2CCC(CC2)c2ccc(cc2)-c2cc(cc3cc(ccc23)-c2ccc(cc2)C(F)(F)F)C(O)=O)nn1	chembl_13065	NEGATIVE
CC(C)(C)c1ccc(cc1)C(=O)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1	chembl_5132	POSITIVE
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(O)=O)CC1)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1	chembl_12765	NEGATIVE
CC(C)C1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(N1)C(C)C)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11852	POSITIVE
CC(C)CCNc1cc(C)n(CCC(C)C)c(=O)c1	chembl_12900	NEGATIVE
CC(C)CCn1c(C)cc(NCc2ccc(Cl)cc2)cc1=O	chembl_12828	NEGATIVE
CC(C)CCn1c(C)cc(NCc2ccccc2)cc1=O	chembl_12829	NEGATIVE
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	chembl_12875	POSITIVE
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	chembl_12617	POSITIVE
CC(C)Cn1c(C)cc(NCc2ccc(cc2)C(F)(F)F)cc1=O	chembl_12488	NEGATIVE
CC(C)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3cncn3)(O2)c2ccc(Cl)cc2Cl)cc1	chembl_3673	POSITIVE
CC(C)NC(C)C(O)COc1ccc(C)c2CCCc12	chembl_12672	POSITIVE
CC(C)O[C@H]1c2ccccc2[C@H]2C[C@@]12c1cnc[nH]1	chembl_12266	POSITIVE
CC(C)Oc1ccccc1OC(C)C1=NCCN1	chembl_12490	POSITIVE
CC(C)S(=O)(=O)c1ccccc1NCC1=NCCN1	chembl_11214	POSITIVE
CC(C)Sc1ccccc1NCC1=NCCN1	chembl_11355	POSITIVE
CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	chembl_12431	POSITIVE
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	chembl_12727	POSITIVE
CC(C)c1c(C)nc2ccccc2c1Nc1ccc(cc1)N1CCN(C)CC1	chembl_12949	POSITIVE
CC(C)c1ccccc1OC(C)C1=NCCN1	chembl_12851	POSITIVE
CC(CN1c2ccccc2Sc2ccccc12)N(C)C	chembl_12439	POSITIVE
CC(N)C(O)c1ccccc1	chembl_12665	POSITIVE
CC(N)Cc1c[nH]c2ccccc12	chembl_12958	POSITIVE
CC(Nc1ccccc1-c1ccccc1)C1=NCCN1	chembl_12791	POSITIVE
CC(O)c1c(C)nc2ccccc2c1Nc1ccc(cc1)N1CCN(C)C(C)C1	chembl_12576	POSITIVE
CC(OC1=NCCN1)c1ccccc1	chembl_12760	POSITIVE
CC(OC1=NCCN1)c1ccccc1C	chembl_12853	POSITIVE
CC(OC1=NCCN1)c1ccccc1C1CC1	chembl_12930	POSITIVE
CC(OC1=NCCN1)c1ccccc1CC=C	chembl_13003	POSITIVE
CC(Oc1c(C)cccc1C)C1=NCCN1	chembl_12511	POSITIVE
CC(Oc1c(CC=C)cccc1CC=C)C1=NCCN1	chembl_12485	POSITIVE
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1	chembl_12941	POSITIVE
CC(Oc1c(cccc1-c1ccccc1)-c1ccccc1)C1=NCCN1	chembl_13000	POSITIVE
CC(Oc1ccccc1)C1=NCCN1	chembl_12509	POSITIVE
CC(Oc1ccccc1-c1ccc(C)cc1)C1=NCCN1	chembl_12730	POSITIVE
CC(Oc1ccccc1-c1ccc(O)cc1)C1=NCCN1	chembl_12805	POSITIVE
CC(Oc1ccccc1-c1ccc(cc1)N(=O)=O)C1=NCCN1	chembl_12691	POSITIVE
CC(Oc1ccccc1-c1cccc(C)c1)C1=NCCN1	chembl_12618	POSITIVE
CC(Oc1ccccc1-c1cccc(F)c1)C1=NCCN1	chembl_12774	POSITIVE
CC(Oc1ccccc1-c1cccc(N)c1)C1=NCCN1	chembl_12650	POSITIVE
CC(Oc1ccccc1-c1cccc(O)c1)C1=NCCN1	chembl_12481	POSITIVE
CC(Oc1ccccc1-c1cccc(c1)N(=O)=O)C1=NCCN1	chembl_12689	POSITIVE
CC(Oc1ccccc1-c1ccccc1)C1=NCCC1	chembl_12582	NEGATIVE
CC(Oc1ccccc1-c1ccccc1)C1=NCCN1	chembl_12534	POSITIVE
CC(Oc1ccccc1-c1ccccc1)C1=NCCO1	chembl_12651	NEGATIVE
CC(Oc1ccccc1-c1ccccc1C)C1=NCCN1	chembl_12681	POSITIVE
CC(Oc1ccccc1-c1ccccc1N(=O)=O)C1=NCCN1	chembl_12827	POSITIVE
CC(Oc1ccccc1-c1ccccc1O)C1=NCCN1	chembl_12492	POSITIVE
CC(Oc1ccccc1-c1ccccn1)C1=NCCN1	chembl_12444	POSITIVE
CC(Oc1ccccc1-c1cccnc1)C1=NCCN1	chembl_12430	POSITIVE
CC(Oc1ccccc1-c1cccs1)C1=NCCN1	chembl_12977	POSITIVE
CC(Oc1ccccc1-c1ccncc1)C1=NCCN1	chembl_12459	POSITIVE
CC(Oc1ccccc1-c1ccsc1)C1=NCCN1	chembl_12912	POSITIVE
CC(Oc1ccccc1Br)C1=NCCN1	chembl_12754	POSITIVE
CC(Oc1ccccc1C(C)=C)C1=NCCN1	chembl_12467	POSITIVE
CC(Oc1ccccc1C(C)=O)C1=NCCN1	chembl_12483	POSITIVE
CC(Oc1ccccc1C(F)(F)F)C1=NCCN1	chembl_12752	POSITIVE
CC(Oc1ccccc1C1CC1)C1=NCCN1	chembl_12921	POSITIVE
CC(Oc1ccccc1C1CCCC1)C1=NCCN1	chembl_12877	POSITIVE
CC(Oc1ccccc1C1CCCCC1)C1=NCCN1	chembl_12876	POSITIVE
CC(Oc1ccccc1C=O)C1=NCCN1	chembl_13047	POSITIVE
CC(Oc1ccccc1CC1CC1)C1=NCCN1	chembl_12744	POSITIVE
CC(Oc1ccccc1CC=C)C1=NCCN1	chembl_12926	POSITIVE
CC(Oc1ccccc1Cl)C1=NCCN1	chembl_12479	POSITIVE
CC(Oc1ccccc1OC1CC1)C1=NCCN1	chembl_13029	POSITIVE
CC(Oc1ccccc1S(C)(=O)=O)C1=NCCN1	chembl_13031	POSITIVE
CC(Oc1ccccc1\C=N\O)C1=NCCN1	chembl_13058	POSITIVE
CC(Oc1ccccc1\C=N\OCc1ccccc1)C1=NCCN1	chembl_12522	POSITIVE
CC(Sc1ccccc1-c1ccccc1)C1=NCCN1	chembl_12613	POSITIVE
CC(c1cnc[nH]1)c1cccc(C)c1C	chembl_12532	NEGATIVE
CC(c1cnc[nH]1)c1cccc2ccccc12	chembl_13024	NEGATIVE
CC1(C)[C@@H]2c3ccccc3C[C@]12c1cnc[nH]1	chembl_12303	POSITIVE
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1	chembl_14	NEGATIVE
CC1=C(C#N)C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(C)N1)c1ccc(cc1)N(=O)=O	chembl_12134	POSITIVE
CC1=C(C(C(C(=O)NCCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(C)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11780	POSITIVE
CC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(C)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11103	POSITIVE
CC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(C)N1)c1ccc2OCOc2c1)C(N)=O	chembl_11185	POSITIVE
CC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(C)N1)c1ccc2OCOc2c1)C(O)=O	chembl_11031	POSITIVE
CC1=C([C@H](CC(=O)N1)c1ccc(F)c(F)c1)C(=O)NCCCN1CCC(CC1)(C#N)c1ccc(F)cc1C#N	chembl_10538	NEGATIVE
CC1=C([C@H](CC(=O)N1)c1ccc(F)c(F)c1)C(=O)NCCCN1CCC(CC1)(C#N)c1ccc(F)cc1F	chembl_10796	POSITIVE
CC1=C([C@H](CC(=O)N1)c1ccc(F)c(F)c1)C(=O)NCCCN1CCC(CC1)c1ccc(F)cc1	chembl_10756	POSITIVE
CC1=C([C@H](CC(=O)N1)c1ccc(F)c(F)c1)C(=O)NCCCN1CCC(CC1)c1ccc(F)cc1C#N	chembl_11984	POSITIVE
CC1CCC(CC1)NC(=O)N(CCCl)N=O	chembl_13036	NEGATIVE
CC1CCC(Nc2ccc(I)cc2Cl)=N1	chembl_12902	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3c(C)c(C)ccc23)cc1	chembl_12706	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3c(C)ccc(C)c23)cc1	chembl_12822	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3c(C)cccc23)cc1	chembl_12620	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3cc(C)cc(C)c23)cc1	chembl_12568	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3cc(C)ccc23)cc1	chembl_12729	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3cc(Cl)ccc23)cc1	chembl_12515	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3ccc(F)cc23)cc1	chembl_12623	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3cccc(C)c23)cc1	chembl_12763	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)c(C)nc3cccc(Cl)c23)cc1	chembl_12449	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(C)cnc3ccccc23)cc1	chembl_12495	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(CO)c(C)nc3ccccc23)cc1	chembl_12710	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(CO)cnc3ccc(F)cc23)cc1	chembl_12517	POSITIVE
CC1CN(CCN1C)c1ccc(Nc2c(c(C)nc3ccccc23)-c2ccccc2)cc1	chembl_12751	POSITIVE
CC1CN=C(Nc2c(Cl)cccc2Cl)N1	chembl_12815	POSITIVE
CC1CN=C(Nc2ccc3nccnc3c2Br)N1	chembl_12506	NEGATIVE
CC1CN\C(N1)=N\c1ccc(cc1)N(C)C	chembl_13048	NEGATIVE
CC1CN\C(N1)=N\c1ccc2CCCCc2c1	chembl_12915	POSITIVE
CC1CN\C(N1)=N\c1ccc2OCOc2c1	chembl_13012	POSITIVE
CC1COC(NC(C2CC2)C2CC2)=N1	chembl_12779	NEGATIVE
CC1Cc2ccc(cc2CN1)N(=O)=O	chembl_12504	NEGATIVE
CCC1(Cc2ccc(F)cc2C1)c1cnc[nH]1	chembl_12340	POSITIVE
CCC1(Cc2ccccc2C1)c1cnc[nH]1	chembl_12382	POSITIVE
CCC1(Cc2ccccc2O1)C1=NCCN1	chembl_12642	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(CC)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_10669	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(CCCCOC)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_10992	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(COC)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11226	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(COCC(F)(F)F)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11706	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(COCCCN)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_10597	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(COCCN)N1)c1ccc(cc1)N(=O)=O)C(N)=O	chembl_11261	POSITIVE
CCC1=C(C(C(C(=O)NCCCN2CCC(CC2)(c2ccccc2)c2ccccc2)=C(COCC[N-][N+]#N)N1)c1ccc(cc1)[N+]([O-])=O)C(N)=O	chembl_12081	POSITIVE
CCCC1=C(C(C(C(=O)NCC)=C(CC)N1)c1ccc(cc1)N(=O)=O)C(=O)NCCCN1CCC(CC1)(c1ccccc1)c1ccccc1	chembl_12080	POSITIVE
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1	chembl_11369	POSITIVE
CCCCCCCCCCCCCCCC[n+]1ccccc1	chembl_4900	POSITIVE
CCCCCCCCCc1ccc(O)cc1	chembl_12907	NEGATIVE
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1	chembl_12965	POSITIVE
CCCCCCCCc1ccc(O)cc1	chembl_2779	NEGATIVE
CCCCCNc1cc(C)n(CCCCC)c(=O)c1	chembl_12567	NEGATIVE
CCCCCn1c(C)cc(NCc2ccc(Cl)cc2)cc1=O	chembl_12666	NEGATIVE
CCCCCn1c(C)cc(NCc2ccccc2)cc1=O	chembl_12945	NEGATIVE
CCCCN1CCC(COC(=O)c2cc(Cl)c(NC)c3OCCOc23)CC1	chembl_11615	POSITIVE
CCCCOc1cccc(n1)C(=O)NCCN1CCCN(CC2COc3ccccc3O2)CC1	chembl_12635	POSITIVE
CCCCOc1ncccc1C(=O)NCCN1CCCN(CC2COc3ccccc3O2)CC1	chembl_13042	POSITIVE
CCCCS(=O)(=O)NCC1CCC(CNc2nc(N(C)C)c3ccccc3n2)CC1	chembl_12955	POSITIVE
CCCC[S@@](=O)c1sc2nc(cc(-c3cnc(C)n3C)c2c1N)-c1nccs1	chembl_12740	POSITIVE
