parentised_smiles	ID	class_label
CB1Nc2c(OCC(O)CN(C)C)cccc2C=C1	chembl_13437	POSITIVE
CB1Nc2cccc(OCC(O)CN(C)C)c2C=C1	chembl_13298	POSITIVE
CC(=O)CCCc1nc(no1)-c1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1	chembl_13360	NEGATIVE
CC(=O)NCCCCCc1csc(n1)-c1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1	chembl_13628	NEGATIVE
CC(=O)Nc1c(I)cc(CC2NCCc3cc(O)c(O)cc23)cc1I	chembl_14839	POSITIVE
CC(=O)Nc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1I	chembl_15359	POSITIVE
CC(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1	chembl_14450	POSITIVE
CC(=O)Nc1ccc(Cc2nc(no2)-c2ccc(cc2)S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1	chembl_13816	NEGATIVE
CC(=O)Nc1ccc(OCc2nc(no2)-c2ccc(cc2)S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1	chembl_13822	NEGATIVE
CC(=O)Nc1ccc(cc1)-c1csc(n1)-c1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1	chembl_13963	NEGATIVE
CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1	chembl_13510	NEGATIVE
CC(=O)Nc1cccc(OCC(O)CNC2CCN(CC2)c2ncnc3scc(-c4ccccc4)c23)c1	chembl_13705	POSITIVE
CC(C)(C)CC(C)(C)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12	chembl_13719	POSITIVE
CC(C)(C)CCCc1ncc(o1)-c1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1	chembl_14458	POSITIVE
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	chembl_14368	POSITIVE
CC(C)(C)NCC(O)COc1cccc2[nH]cc(CC(N)=O)c12	chembl_14602	POSITIVE
CC(C)(C)NCC(O)COc1cccc2oc3ccccc3c12	chembl_15398	POSITIVE
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1	chembl_13769	POSITIVE
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	chembl_13639	POSITIVE
CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12	chembl_13824	POSITIVE
CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(=O)[nH]c12	chembl_13790	POSITIVE
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1	chembl_14447	POSITIVE
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1	chembl_15390	NEGATIVE
CC(C)(C)NC[C@H](O)c1ccc2O[B-](O)(O)[OH+]Cc2c1	chembl_14644	NEGATIVE
CC(C)(C)NC[C@H](O)c1ccc2O[B-](O)([OH+]Cc2c1)c1ccccc1	chembl_14955	NEGATIVE
CC(C)(C)OC(=O)NCCOCCOCCOCCOCCNCC(O)COc1ccccc1CC=C	chembl_15291	POSITIVE
CC(C)(C)OC(=O)NCCOc1ccc(Nc2ccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)cc1	chembl_13726	POSITIVE
CC(C)(C)c1ccc(cc1)-c1csc(n1)-c1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1	chembl_13468	NEGATIVE
CC(C)(Cc1ccc(Oc2ccc(cn2)C(N)=O)cc1)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12	chembl_13259	POSITIVE
