parentised_smiles	ID	class_label
Brc1cc(Br)c2Oc3c(Br)cc(Br)cc3Oc2c1	chembl_15460	POSITIVE
Brc1cc(Br)c2Oc3cc(Br)c(Br)cc3Oc2c1	chembl_15569	POSITIVE
Brc1cc2Oc3c(Br)cc(Br)c(Br)c3Oc2cc1Br	chembl_15664	POSITIVE
Brc1cc2Oc3cc(Br)c(Br)c(Br)c3Oc2cc1Br	chembl_15556	POSITIVE
Brc1cc2Oc3cc(Br)c(Br)cc3Oc2cc1Br	chembl_15580	POSITIVE
Brc1ccc(Nc2nc(=O)c3cc(ccc3s2)N(=O)=O)cc1	chembl_15522	NEGATIVE
Brc1ccc2Oc3cc(Br)c(Br)cc3Oc2c1	chembl_15508	POSITIVE
Brc1ccc2Oc3cc(Br)ccc3Oc2c1	chembl_15589	POSITIVE
Brc1ccc2Oc3ccccc3Oc2c1	chembl_15531	POSITIVE
Brc1ccc2ncnc(Nc3ccc(cc3)N3CCOCC3)c2c1	chembl_15610	POSITIVE
Brc1cncc(c1)C(=O)N\N=C\c1ccc(o1)-c1ccccc1N(=O)=O	chembl_15481	NEGATIVE
C(c1cc2ccccc2[nH]1)c1c[nH]c2ccccc12	chembl_15633	POSITIVE
CC(=O)Nc1cc(n[nH]1)-c1ccc(Cl)cc1	chembl_15518	POSITIVE
CC(=O)Nc1cccc(OCC(=O)Nc2ccc(F)cc2)c1	chembl_15657	NEGATIVE
CC(=O)Nc1cccc2C(=O)N(C(=O)c12)c1ccc(C)cc1	chembl_15599	POSITIVE
CC(=O)O\N=C1\C(\Nc2ccccc\12)=C1\C(=O)Nc2cc(Br)ccc12	chembl_15541	POSITIVE
CC(=O)Oc1ccc(cc1)C(c1c[nH]c2ccccc12)c1ccccn1	chembl_15526	NEGATIVE
CC(=O)c1ccc(NC(=O)c2cc(Cl)nc3ccccc23)cc1	chembl_15668	POSITIVE
CC(=O)c1noc(C)c1C(=O)Nc1nccs1	chembl_15538	NEGATIVE
CC(C)CC(=O)Nc1nn(C)c2nc3cc(C)ccc3cc12	chembl_15513	POSITIVE
CCC(=O)NC(=S)Nc1ccc(NC(=O)c2ccco2)c(Cl)c1	chembl_15446	NEGATIVE
CCC(=O)Nc1cc(OC)c(NC(=O)c2ccccc2)cc1OC	chembl_15554	POSITIVE
