parentised_smiles	ID	class_label
Brc1cc(cc(c1)S(=O)(=O)NC1CCCC1)-c1csc(=O)[nH]1	chembl_22557	POSITIVE
Brc1ccc(cc1)-c1nc2sc3CCCc3c2c(=O)[nH]1	chembl_24088	POSITIVE
Brc1ccc(cc1)C(=O)COC(=O)CN1CC(=O)Oc2ccccc12	chembl_22439	POSITIVE
Brc1ccc(cc1)C(=O)COC(=O)CNc1cc(=O)oc2ccccc12	chembl_24436	POSITIVE
Brc1cccc(c1)-c1nc2sc3CCCCCc3c2c(=O)[nH]1	chembl_24153	POSITIVE
Brc1cccc(c1)S(=O)(=O)Nc1ccc(cc1)C(=O)c1ccccc1	chembl_23211	NEGATIVE
C(Nc1ccc2nnc(C3CC3)n2n1)c1ccc(cc1)-n1cccn1	chembl_22225	NEGATIVE
C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3nc[nH]c3c2)c2cc[nH]c2c1=O	chembl_25424	POSITIVE
C=CCCn1cc(-c2cc(cc(c2)C(=O)N2CCOCC2)C#N)c2cc[nH]c2c1=O	chembl_21697	POSITIVE
C=CCCn1cc(-c2cccc(c2)C(=O)N2CCCC2)c2cc[nH]c2c1=O	chembl_23261	POSITIVE
C=CCCn1cc(-c2cccc(c2)C(=O)N2CCOCC2)c2cc[nH]c2c1=O	chembl_24189	POSITIVE
C=CCCn1cc(-c2cncc(c2)C(=O)N2CCOCC2)c2cc[nH]c2c1=O	chembl_23776	POSITIVE
CC#CC1(O)C(=O)Nc2ccc(cc12)-c1c(C)noc1C	chembl_23712	POSITIVE
CC(=C)CC1(O)C(=O)Nc2ccc(cc12)-c1c(C)noc1C	chembl_23218	POSITIVE
CC(=C)c1cc2c(cn(C)c(=O)c2[nH]1)-c1cc(ccc1Oc1ccc(F)cc1F)S(C)(=O)=O	chembl_23298	POSITIVE
CC(=O)CC(c1ccccc1)c1c(O)c2ncccc2oc1=O	chembl_23690	POSITIVE
CC(=O)CC1(O)C(=O)Nc2ccc(cc12)-c1c(C)noc1C	chembl_25353	POSITIVE
CC(=O)C[C@@H]1N=C(c2c(C)c(C)sc2-n2c(C)nnc12)c1ccc(Cl)cc1	chembl_22657	POSITIVE
CC(=O)N1C(=O)c2cccc3c(ccc1c23)S(=O)(=O)N1CCCC1	chembl_23497	NEGATIVE
CC(=O)N1C(CN(Cc2cc(C)ccc2C(O)=O)c2ccccc12)C1CC1	chembl_22613	POSITIVE
CC(=O)N1C(CN(Cc2ccc(Cl)cc2C(O)=O)c2ccccc12)C1CC1	chembl_23458	POSITIVE
CC(=O)N1C(CN(Cc2cccc(C)c2)c2ccccc12)C1CC1	chembl_22101	POSITIVE
CC(=O)N1C(CN(Cc2cccc(CO)c2)c2ccccc12)C1CC1	chembl_22247	POSITIVE
CC(=O)N1C(CN(Cc2cccc(O)c2)c2ccccc12)C1CC1	chembl_24331	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2)c2ccccc12)C1CC1	chembl_23554	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2C#N)c2ccccc12)C1CC1	chembl_23676	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2C(N)=O)c2ccccc12)C1CC1	chembl_22456	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2C(O)=O)c2ccccc12)C1CC1	chembl_23059	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2CC(O)=O)c2ccccc12)C1CC1	chembl_22028	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2CN)c2ccccc12)C1CC1	chembl_22010	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2CO)c2ccccc12)C1CC1	chembl_23224	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2O)c2ccccc12)C1CC1	chembl_23799	POSITIVE
CC(=O)N1C(CN(Cc2ccccc2OCCO)c2ccccc12)C1CC1	chembl_25113	POSITIVE
CC(=O)N1CC(C1)n1nc(C)c2C(N(C(=O)c12)c1cc(C)c(=O)n(C)c1)c1ccc(Cl)cc1	chembl_21727	POSITIVE
