parentised_smiles	ID	class_label
Brc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c2cc3ccccc3[nH]2)c1	chembl_25866	NEGATIVE
Brc1ccc(C(=O)NCCc2ccccc2)c(NS(=O)(=O)c2cccc3nsnc23)c1	chembl_25961	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(CCCCNC(=O)Nc1ccccc1C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O	chembl_25786	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(CCCCNC(=O)Nc1ccccc1Cl)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O	chembl_25989	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccc(NC(=O)Nc2ccccc2C)cc1)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O	chembl_25852	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccc(NC(=O)Nc2ccccc2Cl)cc1)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O	chembl_26010	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1cccc(NC(=O)Nc2ccccc2C)c1)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O	chembl_26110	POSITIVE
CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1cccc(NC(=O)Nc2ccccc2C)c1)C(=O)N[C@H](CC(O)=O)C(=O)N[C@@H](Cc1ccc(C)cc1)C(N)=O	chembl_25737	POSITIVE
CC(=O)N\C(=C\c1ccccc1)C(=O)Nc1ccccc1C(=O)NC(Cc1ccccc1)C(O)=O	chembl_26002	NEGATIVE
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1	chembl_209	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2ccc3ccn(CC(O)=O)c3c2)C1=O)C1CCCCC1	chembl_26115	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2ccc3cnn(CC(O)=O)c3c2)C1=O)C1CCCCC1	chembl_25974	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2ccc3n(CC(O)=O)ccc3c2)C1=O)C1CCCCC1	chembl_26114	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2ccc3n(CC(O)=O)ncc3c2)C1=O)C1CCCCC1	chembl_25841	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(CO)c2)C1=O)C1CCCCC1	chembl_26076	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(NCC(O)=O)c2)C1=O)C1CCCCC1	chembl_25931	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(O)c2)C1=O)C1CCCCC1	chembl_26107	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(OCC(O)=O)c2)C1=O)C1CCCCC1	chembl_25868	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(SCC(O)=O)c2)C1=O)C1CCCCC1	chembl_26023	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(SCc3nn[nH]n3)c2)C1=O)C1CCCCC1	chembl_26011	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)-c2ccc(o2)C(O)=O)C1=O)C1CCCCC1	chembl_25787	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)-c2cccc(c2)C(O)=O)C1=O)C1CCCCC1	chembl_25741	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)-c2cn(CC(O)=O)cn2)C1=O)C1CCCCC1	chembl_26009	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)-c2nc(=O)o[nH]2)C1=O)C1CCCCC1	chembl_25818	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)-c2nc(co2)C(O)=O)C1=O)C1CCCCC1	chembl_25720	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)-c2nn[nH]n2)C1=O)C1CCCCC1	chembl_25814	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)C(=O)NS(C)(=O)=O)C1=O)C1CCCCC1	chembl_26054	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)C(O)=O)C1=O)C12CC3CC(CC(C3)C1)C2	chembl_25904	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)C(O)=O)C1=O)C1CCCCC1	chembl_25832	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc(c2)C(O)=O)C1=O)C1CCCCCC1	chembl_25963	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2C(=NN(CC(=O)Nc2cccc3n(CC(O)=O)ncc23)C1=O)C1CCCCC1	chembl_25945	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2N(C2CCCCC2)C(=O)N(CC(=O)Nc2cccc(CCC(O)=O)c2)C1=O	chembl_25784	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2N(C2CCCCC2)C(=O)N(CC(=O)Nc2cccc(c2)-c2nc(=O)o[nH]2)C1=O	chembl_26044	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2N(C2CCCCC2)C(=O)N(CCCC(=O)Nc2cccc(c2)-c2nc(=O)o[nH]2)C1=O	chembl_26084	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2N(C2CCCCCC2)C(=O)N(CC(=O)Nc2cccc(CC(O)=O)c2)C1=O	chembl_26042	NEGATIVE
CC(C)(C)C(=O)CN1c2ccccc2N(C2CCCCCC2)C(=O)N(CC(=O)Nc2cccc(SCC(O)=O)c2)C1=O	chembl_25999	POSITIVE
CC(C)(C)C(=O)CN1c2ccccc2N(C2CCCCCC2)C(=O)N(CC(=O)Nc2cccc(c2)-c2nc(=O)o[nH]2)C1=O	chembl_26047	POSITIVE
CC(C)(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(Cc2[nH]nc3ccccc23)C1=O)c1ccccc1	chembl_25718	POSITIVE
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)C(=O)N[C@H]2C[C@@H](C2)C(O)=O)c2ccccc12	chembl_7546	POSITIVE
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]1CCCN2C(S)N(Cc3ccccc3)C(=O)C[C@@H]12	chembl_25991	POSITIVE
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]1CCCN2[C@H]1CC(=O)N(C2=O)c1cccc2ccccc12	chembl_25783	POSITIVE
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]1CCCN2[C@H]1CC(=O)N(C2=O)c1ccccc1	chembl_25768	POSITIVE
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCN2[C@H]1CC(=O)N(Cc1ccccc1)C2=O	chembl_25763	NEGATIVE
CC(C)(CNC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12)c1ccc(Cl)cc1	chembl_25870	POSITIVE
CC(C)([C@H](NC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12)C(O)=O)c1ccc(Cl)cc1	chembl_25881	NEGATIVE
CC(C)C(=O)CN1c2ccccc2C(=NC(NC(=O)Nc2cccc(C)c2)C1=O)c1ccccc1	chembl_25960	NEGATIVE
CC(C)C1=NN(CC(=O)Nc2cccc(c2)C(O)=O)C(=O)N(CC(=O)C(C)(C)C)c2ccccc12	chembl_26028	NEGATIVE
CC(C)C1CCCCN1C(=O)CN1c2ccccc2-n2c(nnc2-c2ccccc2)C(Cc2c[nH]c3ccccc23)C1=O	chembl_26089	POSITIVE
CC(C)C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1NC(=O)c2ccccc2-n2c1nc1ccccc1c2=O	chembl_26129	NEGATIVE
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@H](CC(O)=O)NC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@H](NC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(O)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N(C)[C@H](CC(O)=O)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O	chembl_25970	POSITIVE
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@H](CC(O)=O)NC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@H](NC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(O)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(N)=O)C(=O)N(C)[C@H](CC(O)=O)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O	chembl_25919	POSITIVE
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@H](CC(O)=O)NC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@H](NC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(O)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)[C@H](CC(O)=O)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O	chembl_25756	POSITIVE
CC(C)N(C(=O)CN(C(=O)CNC(=O)Nc1ccccc1)c1ccccc1)c1ccccc1	chembl_25925	NEGATIVE
CC(C)N(C(=O)CN(C(=O)[C@@H](CCC(O)=O)NC(=O)Nc1ccccc1)c1ccccc1)c1ccccc1	chembl_26056	NEGATIVE
CC(C)N(C(=O)CN1c2ccccc2-n2c(nnc2-c2ccccc2)C(Cc2ccccc2)C1=O)c1ccccc1	chembl_25887	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2-n2c(nnc2-c2ccccc2)C(Nc2cccc(c2)C(O)=O)C1=O)c1ccccc1	chembl_25964	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(C)(CC(=O)Nc2ccccc2)C1=O)c1ccccc1	chembl_26091	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(C)(Cc2[nH]nc3ccccc23)C1=O)c1ccccc1	chembl_25892	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(C)(Cc2c[nH]c3ccccc23)C1=O)c1ccccc1	chembl_25863	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(C)(NC(=O)Nc2ccccc2)C1=O)c1ccccc1	chembl_26122	NEGATIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(CC(=O)Nc2ccccc2)(Cc2ccccc2)C1=O)c1ccccc1	chembl_25821	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(CC(=O)Nc2ccccc2)C1=O)c1ccccc1	chembl_26085	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(Cc2[nH]nc3ccccc23)C1=O)c1ccc(F)cc1	chembl_25819	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(Cc2[nH]nc3ccccc23)C1=O)c1ccc(cc1)C(F)(F)F	chembl_25888	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(Cc2[nH]nc3ccccc23)C1=O)c1ccc2OCOc2c1	chembl_25815	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(Cc2[nH]nc3ccccc23)C1=O)c1ccccc1	chembl_25856	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(NC(=O)Nc2cccc(c2)C(O)=O)C1=O)c1ccccc1	chembl_25979	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(NC(=O)Nc2ccccc2)C1=O)c1ccc(F)cc1	chembl_25710	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(NC(=O)Nc2ccccc2)C1=O)c1ccc(O)cc1	chembl_25782	POSITIVE
CC(C)N(C(=O)CN1c2ccccc2N(c2ccccc2)C(=O)C(NC(=O)Nc2ccccc2)C1=O)c1ccc(cc1)C(O)=O	chembl_25962	NEGATIVE
