parentised_smiles	ID	class_label
Brc1c(NC2CC2)nc(nc1N1CCCCCC1)C1CC1	chembl_29350	POSITIVE
Brc1ccc(cc1)C(=O)N(C1CCN(Cc2ccccc2)CC1)c1ccccc1	chembl_28535	POSITIVE
Brc1ccc(cc1)C(=O)N(C1CCN(Cc2ccccc2)CC1)c1cccnc1	chembl_29347	POSITIVE
Brc1ccc(cc1)N(C1CCN(Cc2ccccc2)CC1)C(=O)C1CCC1	chembl_28768	POSITIVE
Brc1ccc(cc1)N(C1CCN(Cc2ccccc2)CC1)C(=O)c1ccc(s1)N(=O)=O	chembl_28910	POSITIVE
Brc1ccc(cc1)N(C1CCN(Cc2ccccc2)CC1)C(=O)c1ccccc1	chembl_28980	POSITIVE
Brc1ccc(cc1)N(C1CCN(Cc2ccccc2)CC1)C(=O)c1cccs1	chembl_28704	POSITIVE
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1	chembl_89	POSITIVE
C(Cc1ccccc1)N[C@@H]1C2C3CC4C5CC(C2C35)C14	chembl_12118	POSITIVE
C(Cc1ccccn1)N[C@@H]1C2C3CC4C5CC(C2C35)C14	chembl_10616	POSITIVE
C(N1C2CCC1CC2)C12C3C4C5C3C1C5C24	chembl_13094	POSITIVE
C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)C12C3C4C5C3C1C5C24	chembl_13158	POSITIVE
C(OC1CCCNC1)c1cccnc1	chembl_27211	NEGATIVE
C(OC1CCNC1)c1nccs1	chembl_27526	NEGATIVE
C(OCc1cccnc1)C1CCNC1	chembl_26947	NEGATIVE
C(O[C@@H]1CN2CCC1CC2)[C@@H]1COCC(O1)(c1ccccc1)c1ccccc1	chembl_27013	POSITIVE
C(O[C@@H]1CN2CCC1CC2)[C@H]1COCC(O1)(c1ccccc1)c1ccccc1	chembl_27488	POSITIVE
C(O[C@H]1CN2CCC1CC2)[C@@H]1COCC(O1)(c1ccccc1)c1ccccc1	chembl_26193	POSITIVE
C(O[C@H]1CN2CCC1CC2)[C@H]1COCC(O1)(c1ccccc1)c1ccccc1	chembl_28054	POSITIVE
C(Oc1cc(on1)-c1ccccc1)C#CCN1CCCC1	chembl_26985	NEGATIVE
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_116	POSITIVE
C(c1ccccc1)c1ncc2CCNCCc2n1	chembl_26230	POSITIVE
C1CC1Nc1cc(nc(n1)C1CC1)N1CCCCCC1	chembl_29060	POSITIVE
C1CC1c1nc(cc(n1)N1CCCCCC1)N1CCC1	chembl_29233	POSITIVE
C1CC1c1nc2NCCCCc2c(n1)N1CCCCCC1	chembl_29098	POSITIVE
C1CC1c1nc2NCCCc2c(n1)N1CCCCCC1	chembl_29070	POSITIVE
C1CN2CCC1C(C2)=C1c2ccccc2-c2ccccc12	chembl_27669	POSITIVE
C1CNC(C1)c1ccco1	chembl_28720	NEGATIVE
C1CN[C@@H](C1)c1ccco1	chembl_26904	NEGATIVE
C1CN[C@H](C1)c1ccco1	chembl_28199	NEGATIVE
C1Cc2ccc3nsnc3c2CN1	chembl_27551	NEGATIVE
CC(=O)N(C1CCN(Cc2ccccc2)CC1)c1ccc(Br)cc1	chembl_28412	POSITIVE
CC(=O)N1C2CCCC1C=C(CN1C3CCC1CC(C3)NC(=O)Nc1cc(F)cc(c1)C(F)(F)F)C2	chembl_27916	POSITIVE
CC(=O)N1CCCC(C1)(C1CCN(Cc2ccc(Br)cc2)CC1)c1ccccc1	chembl_26894	POSITIVE
CC(=O)N1CCN(Cc2cccc(c2)-c2cccc(CNC(=O)c3ccc4OCOc4c3)c2)CC1	chembl_29363	NEGATIVE
CC(=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)N[C@H](CCCN)C(=O)NCCN1CCN(CCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc34)CC2)CC1	chembl_26277	POSITIVE
CC(=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NCCN1CCN(CCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc34)CC2)CC1	chembl_27497	POSITIVE
CC(=O)NC1CCC(CC1)c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)n1C	chembl_27487	POSITIVE
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_28085	POSITIVE
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_28385	NEGATIVE
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc34)CC2)CC1	chembl_26159	POSITIVE
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_26446	POSITIVE
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc34)CC2)CC1	chembl_28140	POSITIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_27944	POSITIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_26355	POSITIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_26862	NEGATIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_27667	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_27628	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc34)CC2)CC1	chembl_27011	POSITIVE
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc23)CC1	chembl_27349	NEGATIVE
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc34)CC2)CC1	chembl_27696	POSITIVE
CC(=O)Nc1cccc(c1)C(=O)NCc1cccc(c1)-c1cccc(CN2CCNCC2)c1	chembl_29445	POSITIVE
CC(=O)OC1CC2CCCC1N2	chembl_27158	POSITIVE
CC(=O)OCC[N+](C)(C)C	chembl_26789	NEGATIVE
CC(=O)c1ccc(s1)C1=CN2CCC1CC2	chembl_26964	POSITIVE
CC(=O)c1cccc(c1)C(=O)NCc1cccc(c1)-c1cccc(CN2CCNCC2)c1	chembl_29542	POSITIVE
CC(C(=O)O[C@@H]1C[C@H]2[C@@H]3O[C@@H]3[C@@H](C1)[N+]2(C)C)(c1cccs1)c1cccs1	chembl_29255	POSITIVE
CC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1ccccc1)c1ccccc1	chembl_29494	POSITIVE
CC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1	chembl_26213	POSITIVE
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1	chembl_390	POSITIVE
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)C(=O)N[C@H]2C[C@@H](C2)C(O)=O)c2ccccc12	chembl_7546	POSITIVE
CC(C)(C)OC(=O)N1CCN(CC(=O)n2c3ccccc3c3ccccc23)CC1	chembl_26604	NEGATIVE
CC(C)(C)c1cc(NC(=O)C[N+]23CCC(CC2)[C@H](C3)OC(=O)C2(CCCCCC2)C2=CC=CC2)no1	chembl_29018	POSITIVE
CC(C)(C)c1ccc(COCC[N+]23CCC(CC2)(CC3)C(O)(c2ccccc2)c2ccccc2)cc1	chembl_29159	NEGATIVE
CC(C)(C)c1ccc(cc1)C(=O)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1	chembl_5132	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)OCc1cccc(O)c1	chembl_29152	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)Oc1cc(O)c(Cl)cc1Cl	chembl_29354	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)Oc1cc(O)cc(Cl)c1	chembl_29533	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)Oc1cc(O)cc(F)c1	chembl_29353	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)Oc1cc(O)ccc1F	chembl_29006	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)Oc1ccc(Cl)c(O)c1	chembl_29288	POSITIVE
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(C1)Oc1cccc(O)c1	chembl_27555	POSITIVE
