parentised_smiles	ID	class_label
Brc1ccc(NC(=O)NC(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1	chembl_34018	POSITIVE
Brc1ccc(cc1)N1C(C(=O)N(C1=O)c1ccc(Br)cc1)c1ccccc1	chembl_34430	POSITIVE
Brc1ccc(cc1)N1C(C(=O)N(C1=S)c1ccc(Br)cc1)c1ccccc1	chembl_31472	POSITIVE
Brc1cccc(c1)-c1c[nH]c(n1)-c1cccc(CN2CCOCC2)c1	chembl_34641	POSITIVE
Brc1cccc2[nH]c3nc(SCc4ccccc4C#N)nnc3c12	chembl_29801	NEGATIVE
C(CC1=C\C(=C/c2cccc3ccccc23)c2ccccc12)N1CCOCC1	chembl_32890	POSITIVE
C(Oc1ccccc1-c1ccc(nn1)N1CCOCC1)c1ccccc1	chembl_31930	NEGATIVE
C1CCC(CC1)c1noc(n1)C1CCN(CC1)c1cnc2ccccc2c1	chembl_30645	POSITIVE
CC(=O)N1CCC(Cn2c(nc3cc(ccc23)S(=O)(=O)c2nccs2)C(C)(C)C)CC1	chembl_32353	NEGATIVE
CC(=O)NCCCCOc1cc(cc2c(NC3CCN(CC3)S(=O)(=O)C(F)(F)F)ccnc12)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	chembl_31532	POSITIVE
CC(=O)NCCc1cc(ccn1)S(=O)(=O)c1ccc2n(CC3CCOCC3)c(nc2c1)C(C)(C)C	chembl_32187	NEGATIVE
CC(=O)N[C@@H]1CCN(Cc2nc(ns2)-c2cn(CC3CCOCC3)c3c(Cl)cccc23)C1	chembl_30688	POSITIVE
CC(=O)c1ccc2c(C(CC(F)(F)F)c3cccs3)c([nH]c2c1)-c1ccccc1	chembl_34247	POSITIVE
CC(C(=O)N1CCN(CC1)S(=O)(=O)c1cc(Cl)cc(Cl)c1)c1ccc(cc1)C(F)(F)F	chembl_33604	POSITIVE
CC(C(=O)N1CCN(CC1)S(=O)(=O)c1cc(Cl)cc(Cl)c1)c1ccccc1	chembl_32609	POSITIVE
CC(C)(C(=O)N1CCN(CC1)S(=O)(=O)c1cc(Cl)cc(Cl)c1)c1ccccc1	chembl_34460	POSITIVE
CC(C)(C(=O)Nc1ccc(Cl)c(c1)-c1ccco1)S(=O)(=O)c1ccc(Cl)cc1	chembl_31638	POSITIVE
CC(C)(C(=O)Nc1cnc2ccccc2c1)S(=O)(=O)c1ccc(Cl)cc1	chembl_34317	POSITIVE
