parentised_smiles	ID	class_label
Brc1cc(C(=O)NC2CCCCCC2)c(=O)n(CCN2CCOCC2)c1	chembl_32689	POSITIVE
Brc1cc(OCC2CC2)c2oc(=O)c(cc2c1)C(=O)NC1CCCCC1	chembl_37214	POSITIVE
Brc1ccc(CC(=O)NCCC(c2ccccc2)c2ccccc2)cc1	chembl_31156	POSITIVE
Brc1ccc(Cn2cc(C(=O)c3cccc4ccccc34)c(=O)c3ccccc23)cc1	chembl_38119	POSITIVE
Brc1ccc(Cn2cc(\C=C3/N4CCC(CC4)C3=O)c3cccnc23)cc1	chembl_34574	POSITIVE
Brc1ccc(cc1)C(C(=O)NCCCc1ccccc1)c1ccccc1	chembl_32402	POSITIVE
Brc1ccc(cc1)C(NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1	chembl_35113	POSITIVE
Brc1ccc(cc1S(=O)(=O)N1CCCCC1)C(=O)NCc1ccccc1	chembl_31315	POSITIVE
Brc1ccc(cc1S(=O)(=O)N1CCCCC1)C(=O)NCc1cccnc1	chembl_29862	POSITIVE
Brc1ccc(cc1S(=O)(=O)N1CCOCC1)C(=O)NCc1ccccc1	chembl_37193	POSITIVE
Brc1ccc2n(CC#C)cc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(=O)c2c1	chembl_29810	POSITIVE
Brc1ccc2n(CC=C)cc(CC(=O)NC34CC5CC(CC(C5)C3)C4)c2c1	chembl_36910	POSITIVE
Brc1ccc2n(CCC=C)cc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(=O)c2c1	chembl_33631	POSITIVE
Brc1ccc2n(CCCC=C)cc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(=O)c2c1	chembl_31597	POSITIVE
Brc1ccc2n(CCN3CCCCC3)nc(OCc3ccc4ccccc4c3)c2c1	chembl_30863	POSITIVE
Brc1cccc2[nH]c3nc(SCc4ccccc4C#N)nnc3c12	chembl_29801	POSITIVE
Brc1ccccc1Cn1cc(\C=C2/N3CCC(CC3)C2=O)c2ccccc12	chembl_35511	POSITIVE
C(CC1=C\C(=C/c2ccc3CCc4cccc2c34)c2ccccc12)N1CCOCC1	chembl_31416	POSITIVE
C(CC1=C\C(=C/c2cccc3ccccc23)c2ccccc12)N1CCOCC1	chembl_32890	POSITIVE
C(CC1=C\C(=C\c2cccc3ccccc23)c2ccccc12)N1CCOCC1	chembl_33256	POSITIVE
C(Cn1nc(OCc2ccc3ccccc3c2)c2ccccc12)N1CCCCC1	chembl_33931	POSITIVE
C(Cn1nc(OCc2cccc3ccccc23)c2ccccc12)N1CCCC1	chembl_30866	POSITIVE
C(Cn1nc(OCc2cccc3ccccc23)c2ccccc12)N1CCCCC1	chembl_32177	POSITIVE
C(Oc1[nH]nc2ccccc12)c1ccc2ccccc2c1	chembl_31475	NEGATIVE
C(Oc1[nH]nc2ccccc12)c1cccc2ccccc12	chembl_34456	POSITIVE
C(Oc1nn(CC2CCCCC2)c2ccccc12)C1CCCCC1	chembl_3964	POSITIVE
C(Oc1nn(Cc2ccccc2)c2ccccc12)c1ccccc1	chembl_3842	NEGATIVE
C=CCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(ccc12)-c1ccco1	chembl_37844	POSITIVE
C=CCCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccccc1	chembl_29855	POSITIVE
C=CCn1cc(C(=O)C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccccc1	chembl_30202	POSITIVE
C=CCn1cc(C(=O)C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccco1	chembl_32949	POSITIVE
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(ccc12)-c1ccco1	chembl_35503	POSITIVE
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccccc1	chembl_33695	POSITIVE
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccco1	chembl_30917	POSITIVE
C=CCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccccc1	chembl_34201	POSITIVE
C=CCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(ccc12)-c1ccco1	chembl_31871	POSITIVE
C=CCn1cc(CC(=O)NC2CCCCCC2)c2cc(ccc12)-c1ccco1	chembl_36622	POSITIVE
CC#CC#CC\C=C/CCC\C=C\C=C\C(=O)NCC(C)C	chembl_38247	NEGATIVE
CC(=C)C1CCC(C)=C[C@H]1c1c(O)cc(cc1O)-c1ccc(C)cc1	chembl_30874	POSITIVE
