parentised_smiles	ID	class_label
Brc1cc(C[C@@H](NC(=O)N2CCC(CC2)N2Cc3ccccc3NC2=O)C(=O)N2CCC(CC2)N2CCCCC2)cc2oc(=O)[nH]c12	chembl_43684	POSITIVE
Brc1cc2[nH]c(=O)oc2cc1C[C@@H](NC(=O)N1CCC(CC1)N1Cc2ccccc2NC1=O)C(=O)N1CCC(CC1)N1CCCCC1	chembl_48207	POSITIVE
Brc1ccc(CNC(=O)Nc2ccc(cc2)-c2ccnc3nc[nH]c23)cc1	chembl_52906	POSITIVE
Brc1ccc(NC(=O)Nc2ccc(cc2)-c2ccnc3nc[nH]c23)cc1	chembl_52882	POSITIVE
Brc1ccc(cc1)-n1c(SCc2ccccc2)nnc1-c1ccncc1	chembl_45631	POSITIVE
Brc1ccc2Oc3cc(Cn4cncc4CNC4CCN(Cc1c2)C4=O)ccc3C#N	chembl_43658	POSITIVE
Brc1ccc2cc(ccc2c1)C(=O)NCCc1cnc[nH]1	chembl_48511	POSITIVE
Brc1cccc(NC(=O)Cc2nc(=O)cc([nH]2)N2CCOCC2)c1	chembl_52398	NEGATIVE
Brc1cccc(NC(=O)Nc2ccc(cc2)-c2ccnc3nc[nH]c23)c1	chembl_45557	POSITIVE
Brc1cccc(c1)C(=O)\C=C\c1cccnc1	chembl_46995	NEGATIVE
Brc1cccc2N(CCc12)C(=O)Cc1nc(=O)cc([nH]1)N1CCOCC1	chembl_44710	NEGATIVE
C(C1CCCCC1)N(C[C@H]1Cc2c(CN1)cccc2N1CCNCC1)[C@H]1CCCc2cccnc12	chembl_41690	POSITIVE
C(C1CCN(CC1)c1cc(nc(n1)-c1ccncc1)-c1cccnc1)N1CCOCC1	chembl_42764	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CN(Cc1ccccc1)Cc1ccccc1	chembl_52339	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CN(Cc1ccccn1)Cc1ccccn1	chembl_43148	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CN(Cc1cccnc1)Cc1cccnc1	chembl_53322	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CN(Cc1ccncc1)Cc1ccncc1	chembl_50491	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CNC1CCCCC1	chembl_40685	NEGATIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CNCC1CCCCC1	chembl_46388	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CNCc1ccccc1	chembl_44025	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CNCc1ccccn1	chembl_50122	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CNCc1cccnc1	chembl_49783	POSITIVE
C(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CNCc1ccncc1	chembl_41940	POSITIVE
C(CN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12)CN1CCNCC1	chembl_47592	NEGATIVE
C(CN(Cc1nc2ccccc2s1)[C@H]1CCCc2cccnc12)CN1CCNCC1	chembl_47943	POSITIVE
C(CN1CCCCC1)Oc1ccc2Nc3nccc(n3)-c3cccc(COCC=CCOCc1c2)c3	chembl_45272	POSITIVE
C(CN1CCOCC1)Oc1ccc(cc1)-n1ccnc1	chembl_51051	POSITIVE
C(CNCCc1ccnc(n1)-n1ccnc1)Cc1cccnc1	chembl_51095	NEGATIVE
C(COc1ccc(cc1)-n1ccnc1)Cc1ccccn1	chembl_39889	POSITIVE
C(COc1ccc(cc1)-n1ccnc1)Cc1cccnc1	chembl_52525	POSITIVE
C(COc1ccc(cc1)-n1ccnc1)Cc1ccncc1	chembl_38646	POSITIVE
C(COc1ccc(cc1)[C@@H]1CC[C@@H](CC1)N1CCCC1)CN1CCCCC1	chembl_46941	NEGATIVE
C(COc1ccc(cc1)[C@H]1CC[C@@H](CC1)N1CCCC1)CN1CCCCC1	chembl_46947	NEGATIVE
C(COc1ccc(cc1)[C@H]1CC[C@@H](CC1)N1CCOCC1)CN1CCCCC1	chembl_40132	NEGATIVE
C(N(C1CNC1)c1ccccc1)c1ccc2ccccc2c1	chembl_44236	POSITIVE
C(N1CCC(CC1)c1nc(cs1)-c1cc2ccccc2o1)c1nc2ccncc2[nH]1	chembl_53420	POSITIVE
C(NC1CCOCC1)\C=C\CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12	chembl_46385	POSITIVE
