parentised_smiles	ID	class_label
Brc1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1	chembl_55917	NEGATIVE
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12	chembl_57920	POSITIVE
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1	chembl_54528	POSITIVE
Brc1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1	chembl_60943	POSITIVE
Brc1ccc(cc1)C(=O)NCCCCN1CCN(CC1)c1ccccc1	chembl_60021	POSITIVE
Brc1ccc(cc1)C(=O)NCCCCN1CCO[C@H]2[C@H]1COc1ccccc21	chembl_58958	POSITIVE
Brc1ccc(cc1)N1CCN(CCCCCCN2C(=O)c3cccc4cccc2c34)CC1	chembl_56200	POSITIVE
Brc1ccc(cc1)N1CCN(CCCNC(=O)NN(Cc2ccccc2)c2ccccc2)CC1	chembl_59147	POSITIVE
Brc1ccc(cc1)N1CCN(CCNC(=O)NN(Cc2ccccc2)c2ccccc2)CC1	chembl_55214	POSITIVE
Brc1ccc2OCC3CN(Cc4ccccc4)CC3c2c1	chembl_55643	POSITIVE
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	chembl_11166	NEGATIVE
Brc1ccc2n(C3CCN(CC3)C3CCN(CC3)S(=O)(=O)c3ccccc3)c(=O)[nH]c2c1	chembl_27727	NEGATIVE
Brc1cccc(n1)N1CCN(Cc2cc3ccccn3n2)CC1	chembl_59908	POSITIVE
Brc1cccc(n1)N1CCN(Cc2cnn3ccccc23)CC1	chembl_57637	POSITIVE
Brc1cccn2c1nn(CCCCN1CCN(CC1)c1cccc3sccc13)c2=O	chembl_60500	POSITIVE
C#CCN1CCC[C@H](C1)c1cccc(c1)C#N	chembl_57989	NEGATIVE
C#Cc1c[nH]c(CN2CCN(CC2)c2ccccc2)c1	chembl_56832	POSITIVE
C#Cc1cccn1C1CCN(Cc2ccccc2)CC1	chembl_56657	NEGATIVE
C(C#Cc1ccccc1)N(C1CCN(Cc2ccccc2)CC1)c1ccccc1	chembl_56877	POSITIVE
C(C1CC1)N1CCO[C@H]2[C@H]1CCc1cc3CCOc3cc21	chembl_54856	NEGATIVE
C(C1CCCCC1)N1CCN2C(C1)Cc1c[nH]c3cccc2c13	chembl_59772	POSITIVE
C(C1Cc2ccccc2C1)N1CCN(CC1)c1ccc2OCCOc2c1	chembl_12819	POSITIVE
C(C1NCCc2c1[nH]c1ccccc21)c1ccc2OCOc2c1	chembl_59023	NEGATIVE
C(CC1=Cc2ccccc2CC1)N1CCc2ccccc2C1	chembl_58731	NEGATIVE
C(CC1CCN(CCc2ccccc2)CC1)OCC#Cc1ccccc1	chembl_60966	POSITIVE
C(CC1CCNCC1)CN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12	chembl_13165	NEGATIVE
C(CCCN1CCN(CC1)c1nsc2ccccc12)CCSc1nc2ccccc2o1	chembl_56980	POSITIVE
C(CCN1CCN(CC1)c1cccc2OCCOc12)CCc1c[nH]c2ccccc12	chembl_58459	POSITIVE
C(CCN1CCN(CC1)c1cccc2ccccc12)COc1ccc2CNCc2c1	chembl_59324	POSITIVE
C(CCN1CCN(CC1)c1ccccc1)CNC1=Nc2ccccc2OC1	chembl_60421	NEGATIVE
C(CCN1CCc2ncsc2CC1)CN1CCN(CC1)c1ncccn1	chembl_56371	NEGATIVE
C(CCN1CCc2ncsc2CC1)CN1CCc2ncsc2CC1	chembl_58137	NEGATIVE
C(CCNC1=Nc2ccccc2OC1)CCN1CCN(CC1)c1ccccc1	chembl_60140	POSITIVE
C(CCNC1=Nc2ccccc2OC1)CCN1CCN(CC1)c1ccccn1	chembl_54835	POSITIVE
C(CCNC1=Nc2ccccc2OC1)CCN1CCN(CC1)c1ncccn1	chembl_59994	NEGATIVE
C(CCc1c[nH]c2ccccc12)CN1CCN(CC1)c1cccc2OCCOc12	chembl_57189	POSITIVE
C(CCc1c[nH]c2ccccc12)CN1CCc2ccccc2C1	chembl_57723	POSITIVE
C(CCc1cc(\C=C\c2ccccc2)no1)CN1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_57590	POSITIVE
C(CCc1cc(\C=C\c2ccccc2)no1)CN1CCN(CC1)c1ccccc1	chembl_58986	NEGATIVE
C(CCc1cc(no1)-c1ccccc1)CN1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_59998	POSITIVE
C(CCc1cc(no1)-c1ccccc1)CN1CCN(CC1)c1ccccc1	chembl_60524	NEGATIVE
C(CCc1cc(no1)-c1cccs1)CN1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_56680	POSITIVE
C(CCc1cc(no1)-c1cccs1)CN1CCN(CC1)c1ccccc1	chembl_55315	NEGATIVE
C(CCc1ccccc1)CN1CCN(Cc2cc3ccccc3o2)CC1	chembl_58699	POSITIVE
C(CCc1nc2ccccc2s1)CN1CCN(CC1)c1ncccn1	chembl_54953	POSITIVE
C(CCc1nc2ccccc2s1)CN1CCc2ccccc2C1	chembl_55451	POSITIVE
C(CCc1nc2ccccc2s1)CN1Cc2ccccc2C1	chembl_58380	POSITIVE
C(CN1CCC(=CC1)c1ccccc1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_60062	POSITIVE
C(CN1CCC(COC\C=C\c2ccccc2)CC1)Cc1ccccc1	chembl_57754	POSITIVE
C(CN1CCCCC1)Oc1ccccc1Cc1ccccc1	chembl_53825	NEGATIVE
C(CN1CCN(CC1)c1cccc2NCCCc12)Cc1c[nH]c2ccccc12	chembl_56440	POSITIVE
C(CN1CCN(CC1)c1cccc2NCCOc12)Cc1c[nH]c2ccccc12	chembl_55687	POSITIVE
C(CN1CCN(CC1)c1cccc2OCCCc12)Cc1c[nH]c2ccccc12	chembl_57969	POSITIVE
C(CN1CCN(CC1)c1cccc2OCCOc12)Cc1c[nH]c2ccccc12	chembl_59548	POSITIVE
C(CN1CCN(CC1)c1ccccc1)Cc1ccc2nc[nH]c2c1	chembl_56727	POSITIVE
C(CN1CCN(CC1)c1ccccc1)Oc1ccccc1Cc1ccccc1	chembl_54691	NEGATIVE
C(CN1CCN(CC1)c1ccccc1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_56384	POSITIVE
C(CN1CCN(CC1)c1ccccc1)[C@H]1CC[C@@H](CC1)Nc1ncnc2ccccc12	chembl_58872	POSITIVE
C(CN1CCN(CC1)c1ccccc1)[C@H]1CC[C@H](CC1)Nc1ncccn1	chembl_59107	POSITIVE
C(CN1CCN(CC1)c1ccccn1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_60642	POSITIVE
C(CN1CCN(CC1)c1cccnc1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_55654	POSITIVE
C(CN1CCN(CC1)c1ccncc1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_59039	NEGATIVE
C(CN1CCN(CC1)c1cnccn1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_58410	POSITIVE
C(CN1CCN(CC1)c1ncccn1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_57579	POSITIVE
C(CN1CCN(CC1)c1nccs1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_58870	POSITIVE
C(CN1CCN(Cc2cc3ccccc3o2)CC1)Cc1ccccc1	chembl_57486	NEGATIVE
C(CN1CCc2ccccc2C1)Cc1nc2ccccc2[nH]1	chembl_56911	POSITIVE
C(CN1CCc2ccccc2C1)[C@H]1CC[C@@H](CC1)Nc1ncccn1	chembl_56000	POSITIVE
C(CNC1=Nc2ccccc2OC1)CN1CCN(CC1)c1ccccc1	chembl_58067	NEGATIVE
C(CNCCCc1ccccc1)COc1ccccc1	chembl_59982	POSITIVE
C(CNCCOc1ccccc1)COc1ccccc1	chembl_60218	POSITIVE
C(COCC1CCN(Cc2ccccc2)CC1)Cc1ccccc1	chembl_54827	POSITIVE
C(COc1ccc(cc1)-c1nc2ccccc2[nH]1)CN1CCN(CC1)c1ccccc1	chembl_58385	POSITIVE
C(COc1ccc(cc1)-c1nc2ccccc2[nH]1)CN1CCN(CC1)c1ccccn1	chembl_59493	POSITIVE
C(COc1ccc(cc1)-c1nc2ccccc2[nH]1)CN1CCN(CC1)c1ncccn1	chembl_60690	POSITIVE
C(COc1ccc(cc1)-c1nc2ccccc2n1C\C=C\Cn1c(nc2ccccc12)-c1ccc(OCCCN2CCCC2)cc1)CN1CCCC1	chembl_58388	POSITIVE
C(COc1ccc(cc1)-c1nc2ccccc2n1C\C=C\Cn1c(nc2ccccc12)-c1ccc(OCCCN2CCCCC2)cc1)CN1CCCCC1	chembl_57235	POSITIVE
C(COc1ccc(cc1)-c1nc2ccccc2n1C\C=C\Cn1c(nc2ccccc12)-c1ccc(OCCCN2CCN(CC2)c2ccccc2)cc1)CN1CCN(CC1)c1ccccc1	chembl_55087	NEGATIVE
C(COc1ccc2CNCc2c1)CN1CCN(CC1)c1cccc2ccccc12	chembl_59242	POSITIVE
C(COc1cccc2[nH]ccc12)NCc1ccccc1	chembl_55137	POSITIVE
C(COc1cccc2n[nH]cc12)NCc1ccccc1	chembl_59509	POSITIVE
C(COc1cccc2nc[nH]c12)NCc1ccccc1	chembl_56090	POSITIVE
