parentised_smiles	ID	class_label
Brc1ccc(cc1)-c1c(NS(=O)(=O)N2CCOCC2)ncnc1OCCOc1ncc(Br)cn1	chembl_62429	POSITIVE
Brc1ccc(cc1)-c1c(NS(=O)(=O)NC2CC2)ncnc1OCCOc1ncc(Br)cn1	chembl_62450	POSITIVE
Brc1ccc(cc1)-c1c(NS(=O)(=O)NCc2ccccc2)ncnc1OCCOc1ncc(Br)cn1	chembl_61713	POSITIVE
Brc1cnc(OCCOc2ncnc(NS(=O)(=O)NCc3ccccc3)c2-c2ccccc2)nc1	chembl_61196	POSITIVE
CC(=C)c1cccc2c(cccc12)S(=O)(=O)Nc1onc(C)c1C	chembl_61973	NEGATIVE
CC(=O)NCc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1	chembl_62520	POSITIVE
CC(=O)N[C@@H](C1c2ccccc2CCc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	chembl_61426	NEGATIVE
CC(=O)Nc1cccc2c(cccc12)S(=O)(=O)Nc1onc(C)c1C	chembl_62185	NEGATIVE
CC(=O)OCCOc1cc2OCOc2cc1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_61330	POSITIVE
CC(=O)OCCc1cc2OCOc2cc1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_61447	POSITIVE
CC(=O)[C@@H](Cc1c[nH]c2ccccc12)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	chembl_61109	NEGATIVE
CC(=O)[C@H](Cc1c[nH]c2ccccc12)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	chembl_61915	NEGATIVE
CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_61296	POSITIVE
CC(=O)c1c2OCOc2ccc1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_61820	POSITIVE
CC(=O)c1cc(C)cc(C)c1NC(=O)c1sc(C)cc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_62461	POSITIVE
CC(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1C	chembl_61920	POSITIVE
CC(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_62107	POSITIVE
CC(=O)c1cc2OCOc2cc1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1C	chembl_61914	POSITIVE
CC(=O)c1cc2OCOc2cc1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_61571	POSITIVE
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)C(=O)N[C@H]2C[C@@H](C2)C(O)=O)c2ccccc12	chembl_7546	POSITIVE
CC(C)(C)OC(=O)C(c1ccc2OCOc2c1)c1c2ccccc2nc2ccccc12	chembl_61926	NEGATIVE
CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc1nc(nc(OCCO)c1Oc1ccccc1O)-c1ncccn1	chembl_62240	NEGATIVE
CC(C)C(=O)N(C)Cc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1	chembl_61309	POSITIVE
CC(C)C(=O)N(Cc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1)C1CC1	chembl_61183	POSITIVE
CC(C)C(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl	chembl_61511	POSITIVE
CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(O)=O	chembl_62183	NEGATIVE
CC(C)CCc1ccc(-c2ccsc2S(=O)(=O)Nc2onc(C)c2Br)c(C)c1	chembl_62553	NEGATIVE
CC(C)CCc1ccc(cc1)-c1ccsc1S(=O)(=O)Nc1onc(C)c1Br	chembl_61539	NEGATIVE
CC(C)CN(C)Cc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1	chembl_61124	POSITIVE
CC(C)COCc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1	chembl_61807	POSITIVE
CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O)C(C)C	chembl_62202	POSITIVE
CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](Cc2cccc3ccccc23)NC1=O)C(C)C	chembl_61527	NEGATIVE
CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](Cc2ccccc2)NC1=O)C(C)C	chembl_62305	NEGATIVE
CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O)C(C)C	chembl_61641	POSITIVE
CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(=O)N2CCN(CC2)c2ccccc2)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O)c1cccs1	chembl_61813	POSITIVE
CC(C)C[C@H](CC(=O)NC1CCCCC1)C(=O)N[C@H](Cc1cn(C)c2ccccc12)c1nc(C(O)=O)c(C)[nH]1	chembl_62283	POSITIVE
CC(C)C[C@H](CC(=O)NC1CCCCC1)C(=O)N[C@H](Cc1cn(C)c2ccccc12)c1nc(C(O)=O)c(C)o1	chembl_61704	NEGATIVE
CC(C)C[C@H](N(C)C(=O)NC1CCCCC1)C(=O)N[C@H](Cc1cn(C)c2ccccc12)c1nc(C(O)=O)c(C)[nH]1	chembl_61269	POSITIVE
