parentised_smiles	ID	class_label
BrC1=C2c3ccc4[nH]ncc4c3C[C@]2(CC2CC2)CCC1=O	chembl_62786	POSITIVE
BrC1=C2c3ccc4[nH]ncc4c3C[C@]2(CCC2CC2)CCC1=O	chembl_64381	POSITIVE
BrC1=CN2N=C(NC2N=C1)c1cc2ccccc2n1Cc1ccccc1	chembl_64143	POSITIVE
Brc1ccc(cc1)-c1nnc(-c2cccnc2)c2conc12	chembl_63419	NEGATIVE
Brc1ccc(cc1)C(=O)Nc1ccc2cc[nH]c2c1	chembl_65161	POSITIVE
Brc1ccc(cc1)C1Nc2sc3CCCc3c2C(=O)N1	chembl_52535	NEGATIVE
Brc1ccc(cc1)S(=O)(=O)Nc1ccc2cc[nH]c2c1	chembl_65561	POSITIVE
Brc1ccc(o1)-c1nc2ccc(cc2[nH]1)N1C(=O)c2ccccc2C1=O	chembl_48880	NEGATIVE
Brc1ccc2nc([nH]c2c1)-c1cc2ccccc2[nH]1	chembl_64995	POSITIVE
Brc1ccc2nc([nH]c2c1)-c1cc2ccccc2n1Cc1ccccc1	chembl_62756	POSITIVE
Brc1cnc2cc(nn2c1)C(=O)N1CCN(CC1)C(=O)c1ccco1	chembl_63645	NEGATIVE
Brc1cnc2nc([nH]c2c1)-c1cc2ccccc2n1Cc1ccccc1	chembl_64663	POSITIVE
Brc1cncc(c1)C(=O)N\N=C\c1cccc(Oc2ccc(cc2N(=O)=O)N(=O)=O)c1	chembl_49178	NEGATIVE
C(CN1CCC1)Oc1ccc(cc1)C1=C(CCOc2ccccc12)c1ccccc1	chembl_65279	POSITIVE
C(Cc1cc(NCc2ccccc2)nc(NCc2ccccc2)n1)c1ccccc1	chembl_65758	NEGATIVE
C(Oc1ccccc1)c1nnc2sc(nn12)C1COc2ccccc2O1	chembl_65092	NEGATIVE
C(c1ccccc1)n1c(cc2ccccc12)-c1nc2ccccc2[nH]1	chembl_63114	POSITIVE
C=CCn1c2nc3ccccn3c(=O)c2cc(C#N)c1=O	chembl_64553	NEGATIVE
CC#C[C@@]1(O)CC[C@]2(CC=C)[C@H](CCc3cc(O)ccc23)C1	chembl_63348	POSITIVE
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C	chembl_45	NEGATIVE
CC#Cc1cc(O)cc2ccc(cc12)-c1ccc(O)c(F)c1	chembl_64319	POSITIVE
CC#Cc1cc(cc2ccc(O)cc12)-c1ccc(O)c(F)c1	chembl_62592	POSITIVE
CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1	chembl_63192	POSITIVE
