parentised_smiles	ID	class_label
Brc1ccc(cc1)S(=O)(=O)N[C@H]1CCN(CCCOc2ccc(cc2)C(=O)C2CC2)C1	chembl_66380	NEGATIVE
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	chembl_11166	POSITIVE
C(C1CC2N(O1)c1ccccc1Cc1ccccc21)N1CCCC1	chembl_66848	POSITIVE
C(C1CC2N(O1)c1ccccc1Cc1ccccc21)N1CCOCC1	chembl_66810	POSITIVE
C(C1CCCCN1)N1CCN(C1)c1ccccc1	chembl_12404	NEGATIVE
C(C1C[C@H]2[C@H](O1)c1ccccc1Cc1ccccc21)N1CCC(CC1)c1ccccc1	chembl_66367	POSITIVE
C(C1C[C@H]2[C@H](O1)c1ccccc1Cc1ccccc21)N1CCOCC1	chembl_65978	POSITIVE
C(C1C[C@H]2[C@H](O1)c1ccccc1Sc1ccccc21)N1CCC(CC1)c1ccccc1	chembl_66719	POSITIVE
C(CC1=C(Cc2cnccn2)c2ccccc2C1)N1CCC1	chembl_65894	POSITIVE
C(CC1=C(Cc2cnccn2)c2ccccc2C1)N1CCCC1	chembl_66172	POSITIVE
C(CC1=Cc2ccccc2CC1)N1CCc2ccccc2C1	chembl_58731	NEGATIVE
C(CCCCCCc1cnc[nH]1)CCCCCN1CCCC1	chembl_66738	NEGATIVE
C(CCCCCc1cnc[nH]1)CCCCN1CCCC1	chembl_66361	POSITIVE
C(CCCCc1cnc[nH]1)CCCN1CCCC1	chembl_66152	POSITIVE
C(CCc1c[nH]c2ccccc12)CN1CCc2ccccc2C1	chembl_57723	POSITIVE
C(CCc1ccc(OCCCN2CCCCCC2)cc1)CN1CCN(CC1)c1cccc2cccnc12	chembl_11108	POSITIVE
C(CCc1ccccc1)CNCC1c2ccccc2Cc2ccccc12	chembl_66228	POSITIVE
C(CN1CCC1)Oc1ccccc1Cc1ccccc1	chembl_66856	POSITIVE
C(CN1CCCC1)Oc1ccccc1Cc1ccccc1	chembl_54675	POSITIVE
C(CN1CCCCC1)C#Cc1c2CCCCCc2nc2ccccc12	chembl_66778	NEGATIVE
C(CN1CCCCC1)Oc1ccccc1Cc1ccccc1	chembl_53825	POSITIVE
C(CN1CCCCCC1)Oc1ccccc1Cc1ccccc1	chembl_66067	POSITIVE
C(CN1CCN(CC1)c1ncccn1)Cc1nc2ccccc2s1	chembl_11093	POSITIVE
C(CN1CCc2ccccc2C1)Cc1nc2ccccc2[nH]1	chembl_56911	POSITIVE
C(CN1CCc2ccccc2C1)Cc1nc2ccccc2s1	chembl_66807	POSITIVE
C(CNCC1c2ccccc2Cc2ccccc12)Cc1ccccc1	chembl_66831	POSITIVE
C(CNc1c2CCCCCc2nc2ccccc12)CN1CCCC1	chembl_66652	NEGATIVE
C(COc1ccc(CCCN2CCN(CC2)c2cccc3cccnc23)cc1)CN1CCCCCC1	chembl_11866	POSITIVE
C(COc1ccc(CCN2CCN(CC2)c2cccc3cccnc23)cc1)CN1CCCCCC1	chembl_10839	POSITIVE
C(COc1ccc(Cc2ccccc2)cc1)CN1CCN(CC1)c1ccncc1	chembl_66035	NEGATIVE
C(COc1ccc(Nc2ccccc2)cc1)CN1CCN(CC1)c1ccncc1	chembl_65916	NEGATIVE
C(COc1ccc(Oc2ccccc2)cc1)CN1CCN(CC1)c1ccncc1	chembl_66220	NEGATIVE
C(COc1ccc2CCN(CC3CC3)CCc2c1)CN1CCCCC1	chembl_66540	NEGATIVE
C(COc1ccc2CCN(CC3CCCO3)CCc2c1)CN1CCCCC1	chembl_66842	NEGATIVE
C(COc1ccc2CCN(CCc2c1)c1ccccc1)CN1CCCCC1	chembl_66193	POSITIVE
C(COc1ccc2CCNCCc2c1)CN1CCCCC1	chembl_66192	NEGATIVE
C(COc1ccc2ccccc2c1)CN1CCN(CC1)c1ccncc1	chembl_66756	NEGATIVE
C(COc1ccccc1)CN1CCN(CC1)c1ccccc1	chembl_55537	POSITIVE
C(COc1ccccc1Cc1ccccc1)CN1CCC1	chembl_66669	POSITIVE
C(COc1ccccc1Cc1ccccc1)CN1CCCC1	chembl_54317	POSITIVE
C(COc1ccccc1Cc1ccccc1)CN1CCCCC1	chembl_66860	POSITIVE
C(COc1ccccc1Cc1ccccc1)CN1CCCCCC1	chembl_66197	POSITIVE
C(Cc1ccccc1)NCC1c2ccccc2Cc2ccccc12	chembl_66051	POSITIVE
C(Cn1c(cc2cccnc12)[C@@H]1CCCO1)N1CCCCC1	chembl_66601	NEGATIVE
C(Cn1c(nc2ccccc12)C1CCCN(Cc2ncco2)C1)Oc1ccccc1	chembl_66628	POSITIVE
C(Cn1c(nc2ccccc12)C1CCCNC1)Oc1ccccc1	chembl_26267	POSITIVE
C(Cn1c2ccccc2n2ncnc12)N1CCCCC1	chembl_66699	NEGATIVE
C(Cn1cnn2c3ccccc3nc12)N1CCCCC1	chembl_66297	NEGATIVE
C(N1CCCN(CC1)c1nccs1)c1coc(n1)-c1ccccc1	chembl_60392	POSITIVE
C(N1CCc2cc(ccc2C1)N1CCOCC1)c1ccccc1	chembl_12714	NEGATIVE
C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)C12C3C4C5C3C1C5C24	chembl_13158	NEGATIVE
C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)c1ccc2OCOc2c1	chembl_13083	NEGATIVE
C(Oc1ccc2CCN(CC3CC3)CCc2c1)c1ccccc1	chembl_66844	POSITIVE
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_116	POSITIVE
C(c1ccccc1)c1ccc(OC2CCNCC2)cc1	chembl_66381	NEGATIVE
C(c1ccccc1)c1cccc(OC2CCNCC2)c1	chembl_66753	NEGATIVE
C(c1ccccc1)c1ccccc1OC1CCNCC1	chembl_66212	POSITIVE
C1CC(CCN1)Oc1ccccc1	chembl_66872	NEGATIVE
C1CC(CCN1)Oc1ccccc1-c1ccccc1	chembl_66616	POSITIVE
C1CCC(C1)N1CCN(CC1)c1ncnc2ccccc12	chembl_66224	NEGATIVE
C1CCN(C1)c1nc(nc(n1)N1CCNCC1)N1CCCC1	chembl_65910	NEGATIVE
C1CN(CCN1)C1=Cc2ccccc2Cn2ccnc12	chembl_11323	POSITIVE
