parentised_smiles	ID	class_label
Brc1ccc(cc1)C1=CCNCC1	chembl_77435	NEGATIVE
Brc1ccc2CNCCN3CCCCc1c23	chembl_77590	POSITIVE
Brc1ccc2CNCCN3CCc1c23	chembl_75342	POSITIVE
Brc1ccccc1OCCn1nc(ccc1=O)N1CCNCC1	chembl_77847	POSITIVE
Brc1ccnc2N3CCNC[C@H]3CCc12	chembl_74695	POSITIVE
Brc1cn2ccnc2c(n1)N1CCNCC1	chembl_77844	NEGATIVE
C(C1CCC1)c1cccc2N3CCCNCC3CCc12	chembl_77426	POSITIVE
C(C1CCC1)c1cccc2N3CCNCC3CCc12	chembl_75844	POSITIVE
C(C1CCC1)c1ccnc2N3CCNCC3CCc12	chembl_74781	POSITIVE
C(C1CCC1)c1ccnc2N3CCNC[C@H]3CCc12	chembl_74679	POSITIVE
C(Cc1ccccc1)Cc1ncc2CNCCc2n1	chembl_77510	NEGATIVE
C(Cc1ncc2CCNCCc2n1)c1ccccc1	chembl_77780	NEGATIVE
C(NCc1ccccc1)[C@H]1C[C@@H]1c1ccccc1	chembl_77367	NEGATIVE
C(Nc1cccnc1)c1cn(Cc2ccccc2)c2ccccc12	chembl_77417	POSITIVE
C(Oc1n[nH]c2CCNCCc12)c1ccccc1	chembl_77077	POSITIVE
C(Oc1noc2CCNCCc12)c1ccccc1	chembl_75991	POSITIVE
C(c1ccc2OCOc2c1)c1cccc2N3CCNCC3CCc12	chembl_75172	POSITIVE
C(c1ccccc1)c1cc2CCNCCc2nn1	chembl_77569	POSITIVE
C(c1ccccc1)c1ccc2CNCCN3CCc1c23	chembl_75403	POSITIVE
C(c1ccccc1)c1cccc2N3CCNCC3CCc12	chembl_75675	POSITIVE
C(c1ccccc1)c1ccnc2N3CCNC[C@H]3CCc12	chembl_75192	POSITIVE
C(c1ccccc1)c1cncc2N3CCNC[C@H]3CCc12	chembl_76006	POSITIVE
C(c1ccccc1)c1nc2CCNCCc2c(Nc2ccccc2)n1	chembl_10643	POSITIVE
C(c1ccccc1)c1nc2CCNCCc2c(n1)N1CCOCC1	chembl_76918	POSITIVE
C(c1ccccc1)c1ncc2CCNCCc2n1	chembl_26230	POSITIVE
C(c1ccccc1)n1cc2CCNCCc2n1	chembl_77877	NEGATIVE
C(c1cccs1)c1cccc2N3CCNCC3CCc12	chembl_75523	POSITIVE
C1C(CN1c1c2CCNCCc2nc2ccnn12)Oc1ccccc1	chembl_76412	POSITIVE
C1C(CN1c1c2CCNCCc2nc2ccnn12)Oc1ccccn1	chembl_76108	POSITIVE
C1C(CN1c1c2CCNCCc2nc2ccnn12)Oc1cccnc1	chembl_74738	POSITIVE
C1C(CN1c1c2CCNCCc2nc2ccnn12)Oc1ccncc1	chembl_76675	NEGATIVE
C1CC(=CCN1)c1c[nH]c2ccccc12	chembl_77779	POSITIVE
C1CC(=CCN1)c1ccccc1	chembl_77902	NEGATIVE
C1CC(C1)Oc1cccc2N3CCNCC3CCc12	chembl_77292	POSITIVE
C1CC(C1)c1cccc2N3CCNCC3CCc12	chembl_77205	POSITIVE
C1CC(C1)c1ccnc2N3CCNC[C@H]3CCc12	chembl_75395	POSITIVE
C1CC(CCN1)c1c[nH]c2ccccc12	chembl_77390	POSITIVE
C1CC1c1ccc2CNCCN3CCc1c23	chembl_76830	POSITIVE
C1CC1c1ccnc2N3CCNC[C@H]3CCc12	chembl_75409	POSITIVE
C1CC2(C1)CN1CCNCc3cccc2c13	chembl_75538	POSITIVE
C1CCN(C1)c1c2CCNCCc2nc2ccnn12	chembl_75258	NEGATIVE
C1CCN(CC1)c1c2CCNCCc2nc2ccnn12	chembl_74819	NEGATIVE
C1CCc2c(C1)n1CCNCc3cccc2c13	chembl_50768	POSITIVE
C1CCc2cccc3CNCCN(C1)c23	chembl_76930	NEGATIVE
C1CCc2nc(ccc2C1)N1CCNCC1	chembl_75064	POSITIVE
C1CN(C1)c1c2CCNCCc2nc2ccnn12	chembl_75758	POSITIVE
C1CN(CCN1)c1nccc2occc12	chembl_77492	POSITIVE
C1CN(CCN1)c1nccc2sccc12	chembl_77480	POSITIVE
C1CN(CCN1)c1ncnc2[nH]ccc12	chembl_77384	NEGATIVE
C1CN(CCN1)c1ncnc2ccsc12	chembl_77898	NEGATIVE
C1CN(CCN1)c1ncnc2sccc12	chembl_77339	NEGATIVE
C1CN2C(CCc3c(Oc4ccccc4)cccc23)CN1	chembl_76999	POSITIVE
C1CN2C(CCc3c2cccc3-c2ccccc2)CN1	chembl_77034	POSITIVE
C1CN2CCNCc3cccc(C1)c23	chembl_77929	NEGATIVE
C1CN2[C@H](CCc3ccccc23)CN1	chembl_76919	POSITIVE
C1CN2[C@H](CCc3cccnc23)CN1	chembl_76582	POSITIVE
C1CN2[C@H](CCc3ccncc23)CN1	chembl_75008	NEGATIVE
C1C[C@@H]2[C@H](C1)c1cccc3CNCCN2c13	chembl_77610	POSITIVE
C1C[C@H]2CN3CCNCC4C=CC=C([C@H]2C1)C34	chembl_75359	POSITIVE
C1C[C@H]2CN3CCNCc4cccc([C@H]2C1)c34	chembl_77940	POSITIVE
C1C[C@H]2[C@@H](C1)N1CCNCC3CCCC2C13	chembl_77522	POSITIVE
C1C[C@H]2[C@@H](CN1)c1cccc3SCCCN2c13	chembl_76354	NEGATIVE
C1Cc2cccc3CNCCN1c23	chembl_77597	NEGATIVE
C1Cc2ccccc2CCN1	chembl_77795	NEGATIVE
C1Cc2ccccc2N2CCCNCCC12	chembl_77160	POSITIVE
C1Cc2ccccc2N2CCCNCC[C@@H]12	chembl_77101	POSITIVE
C1Cc2cnc(nc2CN1)-c1ccccc1	chembl_77726	NEGATIVE
C1N2CCNCc3cccc(c23)C11CCOCC1	chembl_77871	NEGATIVE
CC(=C)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN	chembl_75198	POSITIVE
CC(=C)COc1ccc2occc2c1[C@@H]1C[C@H]1CN	chembl_77265	POSITIVE
CC(=C)COc1ccc2occc2c1[C@H]1C[C@@H]1CN	chembl_75769	POSITIVE
CC(C)(C)Cc1ccnc2N3CCNC[C@H]3CCc12	chembl_76724	POSITIVE
CC(C)CCn1nc2CCNCCc2cc1=O	chembl_77571	POSITIVE
