parentised_smiles	ID	class_label
Brc1cc(Br)n2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12	chembl_78583	NEGATIVE
Brc1cc2[nH][nH]c3cn([C@H]4CN5CCC4CC5)c(=O)c(c1)c23	chembl_78183	POSITIVE
Brc1cc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn2c1	chembl_78226	NEGATIVE
Brc1ccc(C[N+]23CC[C@H]4[C@@H]2C[C@@H]2[C@@H]5[C@@H]4N([C@@H]4OCC=C6C[N+]7(Cc8ccc(Br)cc8)CC[C@@]89[C@@H]7C[C@@H]6[C@@H]4[C@@H]8N([C@@H]5OCC=C2C3)c2ccccc92)c2ccccc2)cc1	chembl_78033	NEGATIVE
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)nccn12	chembl_78222	NEGATIVE
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12	chembl_78300	NEGATIVE
Brc1ccn2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12	chembl_78594	NEGATIVE
Brc1cnc2nc(oc2c1)N1CCN2CCC1CC2	chembl_78408	NEGATIVE
Brc1nc2OC3(Cn2c1Br)CN1CCC3CC1	chembl_78152	POSITIVE
Brc1nc2O[C@@]3(Cn2c1Br)CN1CCC3CC1	chembl_78555	POSITIVE
Brc1nc2O[C@]3(Cn2c1Br)CN1CCC3CC1	chembl_78010	NEGATIVE
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(cc1C#N)C#N	chembl_1552	NEGATIVE
C(C1CCCCC1)c1cnc[nH]1	chembl_78499	NEGATIVE
C(COc1ccc(CCNc2c3CCCCc3nc3ccccc23)cc1)CN1CCCCC1	chembl_2395	POSITIVE
C(Cc1ccc2NCNc2c1)N1CCN(CC1)c1cccc2ccccc12	chembl_53942	NEGATIVE
C(Cc1ccc2nc[nH]c2c1)N1CCN(CC1)c1cccc2ccccc12	chembl_53662	NEGATIVE
C(Cc1ccccc1)Cn1c(nc2ccccc12)N1CCNCC1	chembl_78544	POSITIVE
C(Cn1c(nc2ccccc12)N1CCNCC1)c1ccccc1	chembl_78353	POSITIVE
C(N1CCCCC1)c1ccc(cc1)-c1ccc(s1)-c1cn(nn1)[C@H]1CN2CCC1CC2	chembl_78393	NEGATIVE
