parentised_smiles	ID	class_label
Brc1ccc(OCCN2CCN(CC2)C(=O)c2cccs2)cc1	chembl_78667	NEGATIVE
C(C(c1cccnc1)c1cccnc1)c1ccccc1-c1ccccc1	chembl_78672	POSITIVE
C(C(c1cccnc1)c1cccnc1)c1ccccc1-c1cccnc1	chembl_78937	POSITIVE
C(C(c1cccnc1)c1cccnc1)c1ccccc1-c1ccncc1	chembl_79063	POSITIVE
C(C(c1cccnc1)c1cccnc1)c1ccccc1-c1cncc2ccccc12	chembl_79033	POSITIVE
C(Cc1cccc2ccccc12)O[C@@H]1CCCC[C@H]1N1CCOCC1	chembl_78807	POSITIVE
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1cccnc1)c1ccccn1	chembl_78997	POSITIVE
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1ccncc1)c1ccccn1	chembl_79097	POSITIVE
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1cn[nH]c1)c1ccccn1	chembl_78955	POSITIVE
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1cncnc1)c1ccccn1	chembl_79341	POSITIVE
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1cncs1)c1ccccn1	chembl_78627	POSITIVE
C(Nc1nc(nc2cccc(-c3ccccc3)c12)C1CC1)c1ccccn1	chembl_78911	POSITIVE
C1CCN(C1)[C@@H]([C@H](N1CCCC1)c1ccccc1)c1ccccc1	chembl_39802	POSITIVE
C1CCN(C1)[C@H]([C@@H](N1CCCC1)c1ccccc1)c1ccccc1	chembl_41488	POSITIVE
C1CCN(CC1)[C@@H]([C@H](N1CCCCC1)c1ccccc1)c1ccccc1	chembl_39803	POSITIVE
C1CCN(CC1)[C@@H]([C@H](N1CCCCC1)c1ccccn1)c1ccccn1	chembl_79050	POSITIVE
C1CCN(CC1)[C@H]([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1	chembl_51109	POSITIVE
C1CCN(CC1)[C@H]([C@@H](N1CCCCC1)c1ccccn1)c1ccccn1	chembl_79038	NEGATIVE
C1CCN(CC1)[C@H]([C@H](N1CCCCC1)c1ccccn1)c1ccccn1	chembl_78950	POSITIVE
CC(=O)NC(C(c1cccnc1)c1cccnc1)c1ccccc1-c1cc(Cl)cc(Cl)c1	chembl_78954	POSITIVE
CC(=O)NCC(C)(C)CN(C1=NS(=O)(=O)c2cc(F)ccc12)c1ccccc1	chembl_78666	POSITIVE
CC(=O)Nc1cncc(c1)-c1nc(NCc2ccccn2)c2c(cccc2n1)-c1ccccc1	chembl_78929	POSITIVE
CC(=O)c1ccc(cc1)S(=O)(=O)NCc1ccccc1-c1ccccc1C(=O)N[C@@H](Cc1ccccc1)C(N)=O	chembl_78775	NEGATIVE
CC(C)(C)NC(=O)C1N(Cc2cc(F)ccc2-c2ccc(F)cc2)C(=O)c2ccccc12	chembl_79078	POSITIVE
CC(C)(C)NC(=O)C1N(Cc2cc(F)ccc2-c2ccccc2)C(=O)c2ccccc12	chembl_79214	POSITIVE
CC(C)(C)NC(=O)C1N(Cc2ccc(F)cc2-c2ccc(F)cc2)C(=O)c2ccccc12	chembl_78827	POSITIVE
CC(C)(C)NC(=O)C1N(Cc2ccc(F)cc2-c2ccccc2)C(=O)c2ccccc12	chembl_79179	POSITIVE
CC(C)(C)NC(=O)C1N(Cc2ccccc2-c2ccc(F)c(F)c2)C(=O)c2ccccc12	chembl_79080	POSITIVE
