parentised_smiles	ID	class_label
Brc1ccc(CNc2ccc3C[C@@H]4N5CCC[C@H]5[C@@H](c3c2)c2cc(NCc3ccc(Br)cc3)ccc42)cc1	chembl_96054	NEGATIVE
Brc1ccc2C[C@@H]3N4CCC[C@H]4[C@@H](c2c1)c1cc(Br)ccc31	chembl_94878	NEGATIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(Nc4ccccc4)nc2cc31	chembl_95604	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(Nc2ccccc2)cc31	chembl_94528	POSITIVE
C(C1CCC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(Nc2ccccc2)cc31	chembl_94438	POSITIVE
C(CCCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)CCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1	chembl_95145	POSITIVE
C(CCCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)CCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_95852	POSITIVE
C(CCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_96109	POSITIVE
C(COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_93608	POSITIVE
C(Cc1ccccc1)N(CCc1ccccc1)CC1CCC1	chembl_94290	POSITIVE
C(N[C@H]1CCC[C@]2(C1)OCCc1ccccc21)C1CCCCC1	chembl_92873	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccc2OCOc2c1	chembl_94631	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccccc1	chembl_92607	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccc2OCOc2c1	chembl_94974	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccccc1	chembl_95859	POSITIVE
C(Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)c1ccccc1	chembl_92616	POSITIVE
C(OC1(CCN(CC1)C(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1	chembl_93839	NEGATIVE
C(Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)C1CO1	chembl_93310	POSITIVE
C(c1ccccc1)n1ccnc1C1(CCN(CC1)c1nc2ccccc2s1)c1ccccc1	chembl_95897	POSITIVE
C(c1ccccc1)n1ccnc1C1(CCN(CC1)c1ncccn1)c1ccccc1	chembl_93663	POSITIVE
C(c1ccccc1)n1ccnc1C1(CCN(CC1)c1nccs1)c1ccccc1	chembl_96470	POSITIVE
C1CC2(CCN1)CC(c1ccccc1)c1ccccc1O2	chembl_93710	POSITIVE
C1CC2(CCN1)Oc1ccccc1C(=C2)c1ccccc1	chembl_83777	POSITIVE
C1CN(CCN1)C(c1ccccc1)c1ccc(cc1)-c1nn[nH]n1	chembl_93856	POSITIVE
C1C[C@H]2C[C@H](C[C@@H](C1)N2[C@H]1C[C@@H]2C[C@H](C1)CCCC2)n1c(nc2ccccc12)-c1cc[nH]n1	chembl_96051	NEGATIVE
C=CCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)-c1ccccc1	chembl_96031	POSITIVE
C=CCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)-c1ccccn1	chembl_94744	POSITIVE
C=CCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)-c1cccnc1	chembl_93621	POSITIVE
C=CCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)-c1cccs1	chembl_94292	POSITIVE
C=CCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)C(=O)N1CCCCC1	chembl_92810	POSITIVE
C=CCN1CC[C@]23[C@@H]4CCC[C@H]2[C@H]1Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc5CC6[C@@H]7CCCC[C@]7(CCN6CC6CCC6)c5c2)c(O4)c31	chembl_93424	POSITIVE
C=CCN1CN(c2ccccc2)C2(CCN(CC2)C(c2ccccc2)c2ccccc2)C1=O	chembl_92663	NEGATIVE
C=CCNc1nc2ccccc2n(C2CCN(CC2)C2CCCCCCC2)c1=O	chembl_95088	NEGATIVE
CC(=C)CN1CCC(CC1)(C#N)c1ccccc1	chembl_94833	NEGATIVE
CC(=C)CN1CCC23[C@H]4Oc5c2c(CC1[C@]3(O)CC1(Cc2ccccc2C1)C4=O)ccc5O	chembl_96494	POSITIVE
CC(=C)CN1CCC23[C@H]4Oc5c2c(CC1[C@]3(O)C\C(=C/c1ccccc1)C4=O)ccc5O	chembl_95557	POSITIVE
CC(=C)CN1CCC23[C@H]4Oc5c2c(CC1[C@]3(O)Cc1c4[nH]c2ccccc12)ccc5O	chembl_95721	POSITIVE
CC(=C)CN1CCC23[C@H]4Oc5c2c(CC1[C@]3(O)Cc1c4oc2ccccc12)ccc5O	chembl_93838	POSITIVE
CC(=C)CN1CCC23[C@H]4Oc5c2c(CC1[C@]3(O)Cc1c[nH]nc41)ccc5O	chembl_96118	POSITIVE
CC(=C)CN1CCC23[C@H]4Oc5c2c(CC1[C@]3(O)Cc1cc(cnc41)-c1ccc(Cl)cc1)ccc5O	chembl_96275	POSITIVE
CC(=N)NCCc1ccc2[nH]c3[C@@H]4Oc5c6c(CC7N(CC8CC8)CC[C@@]46[C@@]7(O)Cc3c2c1)ccc5O	chembl_95635	POSITIVE
CC(=N)NC[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1c(C)cc(O)cc1C	chembl_92817	POSITIVE
CC(=O)C(N)CCC[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O	chembl_96773	POSITIVE
CC(=O)C(N)CCC[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O	chembl_95563	POSITIVE
CC(=O)C(N)CCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O	chembl_93351	POSITIVE
CC(=O)C1=C(O)[C@@H]2Oc3c4c(C[C@H]5N(CC6CC6)CC[C@@]24[C@@]5(O)C1)ccc3O	chembl_94378	POSITIVE
CC(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C2CCC(C)(C)c3ccccc23)C1=O	chembl_94919	POSITIVE
CC(=O)N(CCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(O)=O)C(C)=O	chembl_93441	POSITIVE
CC(=O)N(CCCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(c1)C(N)=O)CC1CCCCC1	chembl_94787	POSITIVE
CC(=O)N(CCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(O)=O)C(C)=O	chembl_93119	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(O)c1)CC12CC3CC(CC(C3)C1)C2	chembl_96548	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(O)c1)CC1CCCCC1	chembl_93832	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(O)c1)Cc1c(F)cccc1F	chembl_93434	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(O)c1)Cc1ccccc1	chembl_93885	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(c1)C(=O)NOP(O)(O)=O)CC1CCC(F)(F)CC1	chembl_93804	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(c1)C(N)=O)CC12CC3CC(CC(C3)C1)C2	chembl_93808	POSITIVE
CC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(c1)C(N)=O)CC1CCCCC1	chembl_96351	POSITIVE
CC(=O)N1CC2CN(CC2C1)c1nc2ccccc2n(C2CCN(CC2)C2CCCCCCC2)c1=O	chembl_94921	NEGATIVE
CC(=O)N1CCC(CC1)(c1nccn1Cc1ccccc1)c1ccccc1	chembl_92661	POSITIVE
CC(=O)N1CCC[C@@H]1C\N=C(/S)N1Cc2ccccc2C[C@H]1CNC(=O)NC(C)(C)C	chembl_96800	POSITIVE
CC(=O)N1CCN(CC1)c1ccc(OCC2COC(Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1	chembl_208	NEGATIVE
CC(=O)NC(Cc1ccccc1)C(=O)NCCC(=O)N(C1CCN(CCc2ccccc2)CC1)c1ccccc1	chembl_96251	NEGATIVE
CC(=O)NC1CCN(CC1)c1nc2ccccc2n(C2CCN(CC2)C2CCCCCCC2)c1=O	chembl_94504	NEGATIVE
CC(=O)NCCC(=O)N(C1CCN(CCc2ccccc2)CC1)c1ccccc1	chembl_94075	NEGATIVE
CC(=O)NC[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1c(C)cc(O)cc1C	chembl_95996	POSITIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)NC1CC[C@H]2CCC[C@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_93271	NEGATIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)NC1S[C@H]2CCC[C@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_92958	NEGATIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1[C@@H](CC[C@@H]1C(C)(C)C)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccc(Cl)cc1)C(N)=O	chembl_96104	POSITIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CC[C@@H]2SC[C@@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_92959	POSITIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CC[C@H]2SC[C@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_96106	NEGATIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H]1CC[C@@H]2SC[C@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_93589	POSITIVE
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(N)=O	chembl_93108	POSITIVE
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O	chembl_94288	NEGATIVE
CC(=O)N[C@@H]1CCN(C1)c1nc2ccccc2n(C2CCN(CC2)C2CCCCCCC2)c1=O	chembl_93250	NEGATIVE
CC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC1CC1)c45	chembl_93196	POSITIVE
CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	chembl_93024	POSITIVE
CC(=O)N[C@H]1CCN(C1)c1nc2ccccc2n(C2CCN(CC2)C2CCCCCCC2)c1=O	chembl_93279	NEGATIVE
CC(=O)Nc1ccc(cc1)-c1cnc2[C@@H]3Oc4c5c(C[C@H]6N(CC7CC7)CC[C@@]35[C@]6(Cc2c1)OCCCc1ccccc1)ccc4O	chembl_93485	POSITIVE
CC(=O)Nc1nc2C[C@]34CCN(CC5CC5)[C@H](Cc5ccc(O)cc35)[C@@H]4Cc2s1	chembl_93886	POSITIVE
CC(=O)Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1	chembl_95760	POSITIVE
CC(=O)Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CCCF)cc2s1	chembl_95600	POSITIVE
CC(=O)Nc1nc2ccccc2n(C2CCN(CC2)C2CCCCCCC2)c1=O	chembl_94405	NEGATIVE
CC(=O)OCC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@@H](C2)c1cccc(O)c1)Cc1ccccc1	chembl_94726	POSITIVE
CC(=O)OC[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1c(C)cc(O)cc1C	chembl_93931	POSITIVE
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1	chembl_209	NEGATIVE
CC(=O)O[C@]12CC[C@@H](OC[C@@H]3CC(=C)C(=O)O3)[C@@H]3Oc4c5c(C[C@H]1N(CC1CC1)CC[C@@]235)ccc4O	chembl_95582	POSITIVE
CC(=O)O[C@]12CC[C@@H](OC[C@H]3CC(=C)C(=O)O3)[C@@H]3Oc4c5c(C[C@H]1N(CC1CC1)CC[C@@]235)ccc4O	chembl_94123	POSITIVE
