parentised_smiles	ID	class_label
Brc1ccc(CN(N2C(=O)CCCC2=O)C(=O)c2ccc(cc2)N(=O)=O)cc1	chembl_98007	NEGATIVE
Brc1ccc(CSc2nnc(-c3ccc(Br)cc3)n2Cc2ccco2)cc1	chembl_97719	NEGATIVE
Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccccc2)cc1	chembl_97570	NEGATIVE
Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2cccnc2)cc1	chembl_97543	NEGATIVE
Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1	chembl_98153	NEGATIVE
Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2cccs2)cc1	chembl_97578	NEGATIVE
Brc1ccc(NC(=O)C2(CCCCC2)N(Cc2ccco2)C(=O)c2ccccn2)cc1	chembl_97839	POSITIVE
C(CCCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)CCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1	chembl_95145	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1cccs1	chembl_79496	POSITIVE
C(Cc1ccccc1)N(CCc1ccccc1)CC1CCC1	chembl_94290	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccc2OCOc2c1	chembl_94631	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccc2OCOc2c1	chembl_94974	POSITIVE
C(Sc1nnc(-c2ccccn2)n1Cc1ccco1)\C=C\c1ccccc1	chembl_97254	NEGATIVE
C(Sc1nnc(-c2ccccn2)n1Cc1ccco1)c1ccccc1	chembl_96846	NEGATIVE
C(Sc1nnc(-c2ccccn2)n1Cc1cccs1)c1ccccc1	chembl_98347	NEGATIVE
C=CCN1CC[C@]23[C@@H]4CCC[C@H]2[C@H]1Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc5CC6[C@@H]7CCCC[C@]7(CCN6CC6CCC6)c5c2)c(O4)c31	chembl_93424	POSITIVE
