parentised_smiles	ID	class_label
Brc1ccc(CNc2ccc3C[C@@H]4N5CCC[C@H]5[C@@H](c3c2)c2cc(NCc3ccc(Br)cc3)ccc42)cc1	chembl_96054	NEGATIVE
Brc1ccc(cc1)-c1cc(C(=O)N\N=C\c2ccccn2)c2ccccc2n1	chembl_97315	NEGATIVE
Brc1ccc(cc1)C(=O)C(=C\c1ccco1)\N1C=CC=CC1=C(C#N)C#N	chembl_97814	NEGATIVE
Brc1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)NCCN(Cc1ccccc1)Cc1ccccc1	chembl_97446	NEGATIVE
Brc1ccc2C[C@@H]3N4CCC[C@H]4[C@@H](c2c1)c1cc(Br)ccc31	chembl_94878	NEGATIVE
Brc1ccc2[nH]cc(CC(=O)N3CCN(CC3)c3ccc(c4nonc34)N(=O)=O)c2c1	chembl_98217	POSITIVE
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	chembl_11166	POSITIVE
Brc1cccc(c1)N1CNC(=O)C11CCN(CC1)C1Cc2cccc3cccc1c23	chembl_97358	POSITIVE
Brc1ccccc1C(=O)Sc1cccc2cccnc12	chembl_96943	NEGATIVE
Brc1cnc2n(CC(=O)NCCCN3CCN(CC3)c3ccc4OCOc4c3)c(=O)c3cccn3c2c1	chembl_97722	NEGATIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(NN4CCNCC4)nc2cc31	chembl_98485	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(Nc4ccccc4)nc2cc31	chembl_95604	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(Nc4ccccn4)nc2cc31	chembl_97285	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(Nc2ccccc2)cc31	chembl_94528	POSITIVE
C(C1CCC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(Nc2ccccc2)cc31	chembl_94438	POSITIVE
C(C1CCCCCCC1)N1CCC(CC1)c1c[nH]c2ncccc12	chembl_97284	NEGATIVE
C(CC1CCCCC1)CN1[C@H](CN2[C@H](CN=C12)C1CCCCC1)C1CCCCC1	chembl_98255	NEGATIVE
C(CC1CCNCC1)CN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12	chembl_13165	NEGATIVE
C(CCCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)CCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1	chembl_95145	POSITIVE
C(CCCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)CCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_95852	POSITIVE
C(CCN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12)CNC1CCOCC1	chembl_96888	NEGATIVE
C(CCN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12)CNC1COC1	chembl_12726	NEGATIVE
C(CCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_96109	POSITIVE
C(CN1[C@H](CN2[C@@H](CN=C12)C1CCCCC1)C1CCCCC1)C1CC2CCC1C2	chembl_97127	POSITIVE
C(CN1[C@H](CN2[C@H](CN=C12)C1CCCCC1)C1CCCCC1)C1CC2CCC1C2	chembl_97870	POSITIVE
C(COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_93608	POSITIVE
C(COc1ccc2[C@@H](CN3CCC[C@@H]3c2c1)c1cccnc1)CN1CCCCC1	chembl_68176	POSITIVE
C(Cc1ccccc1)N(CCc1ccccc1)CC1CCC1	chembl_94290	POSITIVE
C(N1CCC(C1)Nc1nc2ccccc2o1)c1ccccc1	chembl_97011	NEGATIVE
C(N1CCC(CC1)c1c[nH]c2ncccc12)c1cccc2ccccc12	chembl_98275	POSITIVE
C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)C12C3C4C5C3C1C5C24	chembl_13158	POSITIVE
C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)c1ccccc1	chembl_12366	NEGATIVE
C(N[C@H]1CCC[C@]2(C1)OCCc1ccccc21)C1CCCCC1	chembl_92873	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccc2OCOc2c1	chembl_94631	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccccc1	chembl_92607	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccc2OCOc2c1	chembl_94974	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccccc1	chembl_95859	POSITIVE
C(Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)c1ccccc1	chembl_92616	POSITIVE
C(OC1(CCN(CC1)C(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1	chembl_93839	NEGATIVE
C(Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)C1CO1	chembl_93310	POSITIVE
