parentised_smiles	ID	class_label
Brc1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)cc1	chembl_100039	NEGATIVE
Brc1ccc(NC2=Nc3ccccc3CC2)cc1	chembl_100265	NEGATIVE
C(CC1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccccc1	chembl_99446	POSITIVE
C(CCCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)CCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1	chembl_95145	POSITIVE
C(C[C@@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccccc1	chembl_99623	NEGATIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCC1CCCC1	chembl_99740	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccc2ccccc2c1	chembl_100322	NEGATIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccccc1	chembl_99598	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccccn1	chembl_99275	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1cccnc1	chembl_99449	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1cccs1	chembl_79496	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccncc1	chembl_99121	NEGATIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccncn1	chembl_99402	NEGATIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1ccsc1	chembl_99450	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1cnccn1	chembl_99855	POSITIVE
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1scc2COCc12	chembl_99772	POSITIVE
C(C[C@]1(CCOC2(CCOC2)C1)c1ccccn1)NCC1CCCCC1	chembl_99611	POSITIVE
C(C[C@]1(CCOC2(CCOC2)C1)c1ccccn1)NCc1ccc2ccccc2c1	chembl_99473	POSITIVE
C(C[C@]1(CCOC2(CCOC2)C1)c1ccccn1)NCc1scc2COCc12	chembl_99101	POSITIVE
C(C[C@]1(CCO[C@]2(CCOC2)C1)c1ccccn1)NCc1scc2CCCc12	chembl_99223	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccc2OCOc2c1	chembl_94974	POSITIVE
C1CCN(CC1)C1(CCCCC1)c1ccccc1	chembl_95344	NEGATIVE
C=CCN1CC[C@]23[C@@H]4CCC[C@H]2[C@H]1Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc5CC6[C@@H]7CCCC[C@]7(CCN6CC6CCC6)c5c2)c(O4)c31	chembl_93424	POSITIVE
CC(=O)CSc1ccc(cn1)-c1nc2cc(C)c(C)cc2[nH]1	chembl_100386	NEGATIVE
CC(=O)NCCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=C)C(N)=O)c1ccco1	chembl_99496	POSITIVE
CC(=O)NC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=C)C(N)=O)c1ccco1	chembl_99407	POSITIVE
CC(=O)NC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=C)C(N)=O)c1ccco1	chembl_99311	NEGATIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)NC1CC[C@H]2CCC[C@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_93271	NEGATIVE
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CC[C@H]2SC[C@H](N2C1=O)C(=O)N[C@H](CCCNC(N)=N)C(=O)NC(Cc1ccc(Cl)cc1)C(N)=O	chembl_96106	NEGATIVE
CC(=O)N[C@]1(C[C@@H]2CC[C@H](C1)N2C(c1ccccc1Cl)c1ccccc1Cl)c1ccccn1	chembl_100399	NEGATIVE
CC(=O)Nc1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)cc1	chembl_99650	NEGATIVE
CC(=O)Nc1nc2C[C@]34CCN(CC5CC5)[C@H](Cc5ccc(O)cc35)[C@@H]4Cc2s1	chembl_93886	POSITIVE
CC(=O)O[C@@H]1C=C(OC(=O)c2cccc(F)c2)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1	chembl_95843	POSITIVE
CC(=O)O[C@@H]1C[C@H](NC(=O)c2ccccc2)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1	chembl_92801	POSITIVE
CC(C)(C)C(=O)N[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O	chembl_98648	POSITIVE
CC(C)(C)C[C@@H]1COCc2nc(OCc3ccccn3)cc(=O)n12	chembl_99729	NEGATIVE
CC(C)(C)[C@@]1(C)OC(O[C@]23CC[C@@]4(C[C@H]12)[C@H]1Cc2ccc(O)c5O[C@@H]3[C@]4(CCN1CC1CC1)c25)c1ccccc1	chembl_99019	POSITIVE
CC(C)(C)[C@@]1(C)OCO[C@]23C=C[C@@]4(C[C@H]12)[C@H]1Cc2ccc(O)c5O[C@@H]3[C@]4(CCN1CC1CC1)c25	chembl_97048	POSITIVE
CC(C)(C)[C@@]1(C)OCO[C@]23CC[C@@]4(C[C@H]12)[C@H]1Cc2ccc(O)c5O[C@@H]3[C@]4(CCN1CC1CC1)c25	chembl_98938	POSITIVE
CC(C)(C)[C@@]1(C)OCO[C@]23CC[C@@]4(C[C@H]12)[C@H]1Cc2ccc(OCc5ccccc5)c5O[C@@H]3[C@]4(CCN1CC1CC1)c25	chembl_97261	POSITIVE
CC(C)(CCCCCCC(C)(C)C(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)C(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_93043	POSITIVE
CC(C)(NCC[C@]1(CCOC2(CCCC2)C1)c1ccc(F)cc1)c1ccccc1	chembl_100153	NEGATIVE
CC(C)=CCN1CC[C@]23CC(=C)CC[C@@]2(O)[C@H]1Cc1ccc(C(N)=O)c(O)c31	chembl_99726	POSITIVE
CC(C)=CCN1CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc1ccc(C(N)=O)c(O)c31	chembl_100371	POSITIVE
CC(C)C1CCC(CC1)N1CCC(CC1)N1C(=O)CCc2ccccc12	chembl_98166	POSITIVE
CC(C)C1CCC(CC1)N1CCC(CC1)N1C(=O)Cc2ccccc12	chembl_96959	POSITIVE
CC(C)C1CCC(CC1)N1CCC(CC1)N1c2ccccc2CN(CC#N)S1(=O)=O	chembl_100363	POSITIVE
CC(C)C1CCC(CC1)N1CCC(CC1)N1c2ccccc2CN(CC(N)=O)S1(=O)=O	chembl_100130	POSITIVE
CC(C)C1CCC(CC1)N1CCC(CC1)N1c2ccccc2CNS1(=O)=O	chembl_99590	POSITIVE
CC(C)C1OC2(CCN(CCc3ccccc3)CC2)CN(C)C1=O	chembl_85718	POSITIVE
CC(C)C1OC2(CCN(CCc3ccccc3)CC2)CN(C1=O)c1ccccc1	chembl_85810	POSITIVE
