parentised_smiles	ID	class_label
Brc1ccc(CNc2ccc3C[C@@H]4N5CCC[C@H]5[C@@H](c3c2)c2cc(NCc3ccc(Br)cc3)ccc42)cc1	chembl_96054	POSITIVE
Brc1ccc2C[C@@H]3N4CCC[C@H]4[C@@H](c2c1)c1cc(Br)ccc31	chembl_94878	POSITIVE
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	chembl_11166	NEGATIVE
Brc1cccc(c1)N1CNC(=O)C11CCN(CC1)C1Cc2cccc3cccc1c23	chembl_97358	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(NN4CCNCC4)nc2cc31	chembl_98485	NEGATIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(Nc4ccccc4)nc2cc31	chembl_95604	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2sc(Nc4ccccn4)nc2cc31	chembl_97285	POSITIVE
C(C1CC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(Nc2ccccc2)cc31	chembl_94528	POSITIVE
C(C1CCC1)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(Nc2ccccc2)cc31	chembl_94438	POSITIVE
C(C1CCCCCCC1)N1CCC(CC1)c1c[nH]c2ncccc12	chembl_97284	NEGATIVE
C(C1CCc2ccccc2C1)N1CCC2(CCc3ccccc23)CC1	chembl_99131	POSITIVE
C(C1COc2ccccc2C1)N1CCC2(CCc3ccccc23)CC1	chembl_84517	POSITIVE
C(C1Cc2ccccc2CN1)N1CCC2(CCc3ccccc23)CC1	chembl_100010	POSITIVE
C(CC1=CCCCC1)NCc1ccc(cc1)N1CCCc2ccccc12	chembl_100136	POSITIVE
C(CCCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)CCCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1	chembl_95145	POSITIVE
C(CCCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)CCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_95852	POSITIVE
C(CCN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12)CNC1CCOCC1	chembl_96888	NEGATIVE
C(CCN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc12)CNC1COC1	chembl_12726	NEGATIVE
C(CCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_96109	POSITIVE
C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)[C@H]1CCCNC1	chembl_3109	NEGATIVE
C(COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)COc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_93608	POSITIVE
C(Cc1ccccc1)N(CCc1ccccc1)CC1CCC1	chembl_94290	NEGATIVE
C(N1CCC(CC1)c1c[nH]c2ncccc12)c1ccc(Oc2ccccc2)cc1	chembl_99340	POSITIVE
C(N1CCC(CC1)c1c[nH]c2ncccc12)c1cccc2ccccc12	chembl_98275	POSITIVE
C(N[C@H]1CCC[C@]2(C1)OCCc1ccccc21)C1CCCCC1	chembl_92873	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccc2OCOc2c1	chembl_94631	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CC3)c2c1)c1ccccc1	chembl_92607	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccc2OCOc2c1	chembl_94974	POSITIVE
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)c1ccccc1	chembl_95859	POSITIVE
C(Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC3CC3)cc2s1)c1ccccc1	chembl_92616	POSITIVE
C(OC1(CCN(CC1)C(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1	chembl_93839	NEGATIVE
C(Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)C1CO1	chembl_93310	POSITIVE
C([C@@H]1COCCN1)c1nc2ccccc2n1[C@@H]1C[C@@H]2CCC[C@H](C1)N2[C@H]1C[C@@H]2C[C@H](C1)CCCC2	chembl_96926	NEGATIVE
C([C@H]1COCCN1)c1nc2ccccc2n1[C@@H]1C[C@@H]2CCC[C@H](C1)N2[C@H]1C[C@@H]2C[C@H](C1)CCCC2	chembl_98128	NEGATIVE
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	chembl_116	NEGATIVE
C1C(N2CCC(CC2)c2c[nH]c3ncccc23)c2cccc3cccc1c23	chembl_98562	POSITIVE
C1CC(CCN1)(c1ccccc1)c1ccccc1	chembl_99695	NEGATIVE
C1CCN2[C@@H](C1)[C@H]1c3ccccc3C[C@@H]2c2ccccc12	chembl_97976	POSITIVE
C1C[C@H]2C[C@H](C[C@@H](C1)N2[C@H]1C[C@@H]2C[C@H](C1)CCCC2)n1c(nc2ccccc12)-c1c[nH]cn1	chembl_98129	POSITIVE
