parentised_smiles	ID	class_label
Brc1ccc(cc1)-c1ccc(CN2CCS\C2=N\C#N)o1	chembl_101588	NEGATIVE
Brc1ccc(cc1)-c1ccc(o1)C(=O)N1CCCc2ccccc12	chembl_102220	NEGATIVE
Brc1ccc(cc1)-c1ccc(o1)C(=O)N1CCS\C1=N\C#N	chembl_102051	NEGATIVE
Brc1ccc(cc1)-c1ccc(o1)C(=O)N1CCc2ccccc2C1	chembl_101067	NEGATIVE
Brc1ccc(cc1)-c1nc(co1)C(=O)N1CCS\C1=N\C#N	chembl_101418	NEGATIVE
Brc1ccc(cc1)-c1nc(co1)C(=O)n1cccn1	chembl_102148	NEGATIVE
Brc1cccc(c1)-c1nnc(NCCCN2CCN(CC2)c2ncccn2)c2cc3ccccn3c12	chembl_101606	POSITIVE
C(CN1CCOCC1)Nc1ncnc2c1sc1nc(N3CCOCC3)c3COCCc3c21	chembl_101680	POSITIVE
C(CNc1nnc(-c2ccccc2)c2c1cc1ccccn21)CN1CCN(CC1)c1ncccn1	chembl_101262	NEGATIVE
C(Cc1cccs1)Nc1ccnc2n(C3CCCC3)c(nc12)-c1ccco1	chembl_101800	POSITIVE
C(Cc1cccs1)Nc1nccc2n(C3CCCC3)c(nc12)-c1ccco1	chembl_101171	POSITIVE
C=CCc1c(oc(=O)c2ccccc12)-c1ccc(NS(=O)(=O)c2ccccc2)cc1	chembl_102054	POSITIVE
C=CCc1c(oc(=O)c2ccccc12)-c1cccc(NS(=O)(=O)c2ccccc2)c1	chembl_101970	POSITIVE
C=CCc1c(oc(=O)c2ccccc12)-c1cccc(NS(=O)(=O)c2cccs2)c1	chembl_102153	POSITIVE
CC(=C)c1ncc(C(N)=O)c(Nc2ccc(CC(=O)NCC(C)(C)C)cc2)n1	chembl_102123	POSITIVE
CC(=O)CCCOc1nc(Oc2cc3COB(O)c3c(C)c2)c(Cl)cc1C#N	chembl_102250	POSITIVE
CC(=O)CCCOc1nc(Oc2cc3COB(O)c3c(F)c2)c(Cl)cc1C#N	chembl_102129	POSITIVE
CC(=O)CCCOc1nc(Oc2ccc3B(O)OCc3c2)c(Cl)cc1C#N	chembl_101940	POSITIVE
CC(=O)CCCOc1nc(Oc2ccc3B(O)OCc3c2)c(cc1Cl)C#N	chembl_101825	POSITIVE
CC(=O)CCCOc1nc(Oc2ccc3B(O)OCc3c2)cc(c1C#N)C(F)(F)F	chembl_101733	POSITIVE
CC(=O)CCCOc1nc(Oc2ccc3B(O)OCc3c2)ccc1C#N	chembl_101543	POSITIVE
CC(=O)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn32)CC1	chembl_101531	POSITIVE
CC(=O)Nc1cc(ccn1)-c1c(nc(n1C)S(C)=O)-c1ccc(F)cc1	chembl_101672	POSITIVE
CC(=O)Nc1ccc(cn1)-c1c(nc(n1C)S(C)=O)-c1ccc(F)cc1	chembl_101453	POSITIVE
CC(=O)Nc1ccc2oc3c(OC(F)F)ccc(-c4nc(cs4)C(=O)NC4CCC(O)CC4)c3c2c1	chembl_100981	POSITIVE
CC(=O)c1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(nn12)C(F)(F)F	chembl_101348	POSITIVE
CC(=O)c1ccc(cc1)-c1nc2CCCS(=O)(=O)c2c(Nc2ccc(CC(O)=O)cc2)n1	chembl_101812	POSITIVE
CC(=O)c1ccc(cc1)-c1nc2CCCSc2c(Nc2ccc(CC(O)=O)cc2)n1	chembl_101057	POSITIVE
CC(=O)c1ccc2nc(Oc3ccc4B(O)OCc4c3)ccc2c1	chembl_100811	POSITIVE
CC(=O)c1cccc2nc(Oc3ccc4B(O)OCc4c3)ccc12	chembl_100985	POSITIVE
CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)Nc3ccccc3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101150	POSITIVE
CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)c3ccccc3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_100912	POSITIVE
CC(C)(C#N)c1cc(-c2cccc(CN(Cc3ccc(F)cc3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101471	POSITIVE
CC(C)(C)C1CCc2c(C1)sc(NC(=O)c1c(F)cccc1F)c2C(N)=O	chembl_102181	POSITIVE
CC(C)(C)C1CCc2c(C1)sc(NC(=O)c1ccccc1N(=O)=O)c2C(N)=O	chembl_101419	POSITIVE
CC(C)(C)C1CCc2c(C1)sc(NC(=O)c1ccncc1)c2C(N)=O	chembl_101765	POSITIVE
CC(C)(C)C1CCc2sc(NC(=O)c3ccccc3N(=O)=O)c(C(N)=O)c2C1	chembl_101239	POSITIVE
CC(C)(C)CNC(=O)Cc1ccc(Nc2nc(NN3CCCCC3)ncc2C(N)=O)cc1	chembl_102287	POSITIVE
CC(C)(C)CNC(=O)Cc1ccc(Nc2nc(nc3CCCS(=O)(=O)c23)-c2ccccc2)cc1	chembl_101737	POSITIVE
CC(C)(C)CNC(=O)Cc1ccc(Nc2nc(ncc2C(N)=O)-c2ccc3[nH]ccc3c2)cc1	chembl_100831	POSITIVE
