parentised_smiles	ID	class_label
Brc1cccc(c1)-c1nnc(NCCCN2CCN(CC2)c2ncccn2)c2cc3ccccn3c12	chembl_101606	NEGATIVE
C(CNc1nnc(-c2ccccc2)c2c1cc1ccccn21)CN1CCN(CC1)c1ncccn1	chembl_101262	NEGATIVE
C=CCc1cc2cccnc2c(n1)-c1cccc(c1)N(=O)=O	chembl_102294	POSITIVE
CC(=C)Cn1c(SCC(=O)c2ccccc2)nc2sc3CCCCc3c2c1=O	chembl_102444	POSITIVE
CC(=C)Cn1c(SCC(=O)c2cccs2)nc2sc3CCCCc3c2c1=O	chembl_102692	POSITIVE
CC(=C)c1ccc2c(CC[C@H]3[C@@](C)(CCC[C@]23C)C(O)=O)c1	chembl_102625	NEGATIVE
CC(=O)N1CCC(CC1)c1nc2ccccc2nc1OC1CN(C1)c1ccc2ccccc2n1	chembl_102524	NEGATIVE
CC(=O)Nc1cc(ccn1)-c1c(nc(n1C)S(C)=O)-c1ccc(F)cc1	chembl_101672	POSITIVE
CC(=O)Nc1ccc(cc1)-c1nn(C)\c(=N\C2CCCCC2)s1	chembl_102618	NEGATIVE
CC(=O)Nc1cccc(c1)-c1ccn(n1)C(Cc1ccn(=O)cc1)c1ccc(OC(F)F)c(OCC2CC2)c1	chembl_102416	POSITIVE
CC(=O)Oc1cccc(c1)-c1cc2nccc(-c3ccc(OC(F)F)c(OCC4CC4)c3)n2n1	chembl_102753	POSITIVE
CC(=O)c1ccc(cc1)-c1nc2CCCS(=O)(=O)c2c(Nc2ccc(CC(O)=O)cc2)n1	chembl_101812	POSITIVE
CC(=O)c1ccc(cc1)-c1nc2CCCSc2c(Nc2ccc(CC(O)=O)cc2)n1	chembl_101057	POSITIVE
CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)Nc3ccccc3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101150	POSITIVE
CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)c3ccccc3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_100912	POSITIVE
CC(C)(C#N)c1cc(-c2cccc(CN(Cc3ccc(F)cc3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101471	POSITIVE
CC(C)(C)C(=O)c1ccc(OC(F)F)c(OC2CCOC2)c1	chembl_102598	POSITIVE
CC(C)(C)C1CCc2c(C1)sc(NC(=O)c1ccccc1N(=O)=O)c2C(N)=O	chembl_101419	POSITIVE
CC(C)(C)C1CCc2c(C1)sc(NC(=O)c1ccncc1)c2C(N)=O	chembl_101765	POSITIVE
CC(C)(C)C1CCc2sc(NC(=O)c3ccccc3N(=O)=O)c(C(N)=O)c2C1	chembl_101239	NEGATIVE
CC(C)(C)NC(=O)c1cccc(c1)-c1cc2nccc(-c3ccc(OC(F)F)c(OCC4CC4)c3)n2n1	chembl_102455	POSITIVE
CC(C)(C)NC(=O)c1cn(-c2cccc(c2)-c2ccc(cc2)C2CC2C(O)=O)c2ncccc2c1=O	chembl_100969	POSITIVE
CC(C)(C)OC(=O)N1CCN(CC1)c1cccc(c1)-c1cc2nccc(-c3ccc(OC(F)F)c(OCC4CC4)c3)n2n1	chembl_102823	POSITIVE
CC(C)(C=C)c1cc(c(O)cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1	chembl_102494	POSITIVE
CC(C)(CC(O)=O)c1ccc(cc1)-c1cccc(c1)-n1cc(C(=O)NC2CC2)c(=O)c2cccnc12	chembl_101042	POSITIVE
CC(C)(Cc1ccc(cc1)-c1cccc(c1)-n1cc(C(=O)NC2CC2)c(=O)c2cccnc12)C(O)=O	chembl_101420	POSITIVE
CC(C)(O)CCc1ccc(OCc2cc(-c3cccc(OC(F)F)c3)c3ncccc3c2)cc1	chembl_102109	POSITIVE
CC(C)(c1cc(-c2cccc(NC(=O)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1)S(C)(=O)=O	chembl_102184	POSITIVE
CC(C)(c1cc(-c2cccc(c2)-c2ccc(cc2)C2CC2C(O)=O)c2ncccc2c1)S(C)(=O)=O	chembl_101297	POSITIVE
CC(C)(c1cc(-c2cccc(c2)C(=O)Nc2c(Cl)cncc2Cl)c2ncccc2c1)S(C)(=O)=O	chembl_101080	POSITIVE
CC(C)(c1cc(-c2cccc(c2)C(=O)Nc2ccc(cc2)S(C)(=O)=O)c2ncccc2c1)S(C)(=O)=O	chembl_101377	POSITIVE
CC(C)(c1cc(-c2cccc(c2)C(=O)Nc2ccccc2)c2ncccc2c1)S(C)(=O)=O	chembl_101798	POSITIVE
CC(C)(c1cc(-c2cccc(c2)C(=O)Nc2ccncc2)c2ncccc2c1)S(C)(=O)=O	chembl_102095	POSITIVE
CC(C)(c1cc(-c2cccc(c2)C(N)=O)c2ncccc2c1)S(C)(=O)=O	chembl_101198	POSITIVE
CC(C)=CC1Oc2cc(O)ccc2-c2oc3cc(O)cc(O)c3c(=O)c12	chembl_102639	POSITIVE
CC(C)=CCCC1(C)Oc2cc(O)c(cc2C=C1)C1CC(=O)c2c(O)cc(O)cc2O1	chembl_102791	NEGATIVE
CC(C)=CCCC1(C)Oc2ccc(c(O)c2C=C1)-c1oc2cc(O)cc(O)c2c(=O)c1CC=C(C)C	chembl_102482	POSITIVE
CC(C)=CCC\C(C)=C\Cc1c(O)c(CC=C(C)C)cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c1O	chembl_102638	POSITIVE
CC(C)=CCC\C(C)=C\Cc1c(O)ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c1O	chembl_102650	POSITIVE
CC(C)=CCC\C(C)=C\Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c(O)cc1O	chembl_102676	POSITIVE
CC(C)=CCc1c(O)cc(O)c2c1oc(-c1ccc(O)cc1O)c(CC=C(C)C)c2=O	chembl_1262	POSITIVE
CC(C)=CCc1c(O)cc(O)c2c1oc(cc2=O)-c1ccc(O)cc1	chembl_64239	POSITIVE
CC(C)=CCc1c(O)cc(O)c2c1oc1-c3ccc(O)cc3OC(C=C(C)C)c1c2=O	chembl_102298	POSITIVE
CC(C)=CCc1c(O)cc(cc1O)-c1cc2ccc(O)cc2o1	chembl_102251	NEGATIVE
CC(C)=CCc1c(O)cc2oc(-c3ccc(O)cc3O)c(CC=C(C)C)c(=O)c2c1O	chembl_102790	POSITIVE
CC(C)=CCc1c(oc2c3C=CC(C)(C)Oc3cc(O)c2c1=O)-c1ccc(O)cc1O	chembl_5223	POSITIVE
CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c(O)c(CC=C(C)C)c1O	chembl_102623	NEGATIVE
CC(C)=C[C@@H]1Oc2cc(O)ccc2-c2oc3c4C=CC(C)(C)Oc4cc(O)c3c(=O)c12	chembl_102573	POSITIVE
CC(C)=C[C@H]1Oc2cc(O)ccc2-c2oc3c4C=CC(C)(C)Oc4cc(O)c3c(=O)c12	chembl_102838	POSITIVE
CC(C)=C[C@H]1Oc2cc(OC(C)=O)ccc2-c2oc3c4C=CC(C)(C)Oc4cc(O)c3c(=O)c12	chembl_102495	NEGATIVE
CC(C)C(=O)c1c(nn2ccccc12)C(C)C	chembl_42575	POSITIVE
CC(C)C1=CC[C@H]2C(=CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O)C1=O	chembl_102653	POSITIVE
CC(C)CC(=O)c1ccc(OC(F)F)c(OC2CCCC2)c1	chembl_102350	POSITIVE
CC(C)CC(=O)c1ccc(OC(F)F)c(OC2CCOC2)c1	chembl_102401	POSITIVE
CC(C)C[C@@H]1Oc2cc(O)ccc2-c2oc3c4CCC(C)(C)Oc4cc(O)c3c(=O)c12	chembl_102764	NEGATIVE
CC(C)C[C@H]1Oc2cc(O)ccc2-c2oc3c4CCC(C)(C)Oc4cc(O)c3c(=O)c12	chembl_102728	NEGATIVE
CC(C)Cc1nc2sc3c(NCCN4CCOCC4)ncnc3c2c2CC(C)(C)CCc12	chembl_101315	POSITIVE
CC(C)Cn1c2nc[nH]c2c(=O)n(C)c1=O	chembl_48132	NEGATIVE
CC(C)NC(=O)C(=C/c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)C#N)\c1ccc(cc1)S(C)(=O)=O	chembl_102143	POSITIVE
CC(C)NC(=O)C(=C\c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)C#N)\c1ccc(cc1)S(C)(=O)=O	chembl_101347	POSITIVE
CC(C)NC(=O)C(=C\c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O)\c1ccc(cc1)S(C)(=O)=O	chembl_101657	POSITIVE
CC(C)NC(=O)C(=C\c1cccc(c1)-c1cc(cc2cccnc12)C(C)C)\c1ccc(cc1)S(C)(=O)=O	chembl_101814	POSITIVE
CC(C)NC(=O)N(C(C)c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O)c1ccc(cc1)S(C)(=O)=O	chembl_100766	POSITIVE
CC(C)NC(=O)N(Cc1cc(ccc1Cl)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O)c1ccc(cc1)S(C)(=O)=O	chembl_101655	POSITIVE
CC(C)NC(=O)N(Cc1cc(ccc1F)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O)c1ccc(cc1)S(C)(=O)=O	chembl_101261	POSITIVE
CC(C)NC(=O)N(Cc1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)C#N)c1ccc(cc1)S(C)(=O)=O	chembl_101522	POSITIVE
CC(C)NC(=O)N(Cc1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O)c1ccc(cc1)S(C)(=O)=O	chembl_100838	POSITIVE
CC(C)Nc1nc2oc3c(NCCCN4CCCC4=O)ncnc3c2c2CC(C)(C)CCc12	chembl_101969	POSITIVE
CC(C)Nc1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2CC(C)(C)CCc12	chembl_101138	POSITIVE
CC(C)Nc1nc2oc3c(NCc4cccnc4)ncnc3c2c2CC(C)(C)CCc12	chembl_101275	POSITIVE
CC(C)OC(=O)N(Cc1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)C#N)c1ccc(cc1)S(C)(=O)=O	chembl_100773	POSITIVE
CC(C)OC(=O)c1cccc(c1)-c1cc2nccc(-c3ccc(OC(F)F)c(OCC4CC4)c3)n2n1	chembl_102608	POSITIVE
CC(C)Oc1cccc(c1)-c1cc2nccc(-c3ccc(OC(F)F)c(OCC4CC4)c3)n2n1	chembl_102571	POSITIVE
CC(C)\N=c1/sc(nn1C)-c1ccc(Cl)cc1	chembl_102828	NEGATIVE
CC(C)c1cc(-c2cccc(CC(c3ccncc3)C(C)(C)O)c2)c2ncccc2c1	chembl_100978	POSITIVE
CC(C)c1cc(-c2cccc(\C=C(/c3ccc(cc3)S(C)(=O)=O)c3ccc(C)cn3)c2)c2ncccc2c1	chembl_101628	POSITIVE
CC(C)c1cc(-c2cccc(\C=C(\C(O)=O)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101137	POSITIVE
CC(C)c1cc(-c2cccc(\C=C(\c3ccc(cc3)C(C)(C)O)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101977	POSITIVE
CC(C)c1cc(-c2cccc(\C=C(\c3nc(C)no3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_101760	POSITIVE
CC(C)c1cc(-c2cccc(\C=C(\c3nc(C)no3)c3ccccn3)c2)c2ncccc2c1	chembl_101489	POSITIVE
CC(C)c1cc(-c2cccc(\C=C(\c3nccs3)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1	chembl_102142	POSITIVE
CC(C)c1cc(-c2cccc(c2)C(Cc2ccn(=O)cc2)c2ccc(Cl)cc2)c2ncccc2c1	chembl_102168	POSITIVE
CC(C)c1cc(-c2cccc(c2)C(Cc2ccncc2)c2ccc(Cl)cc2)c2ncccc2c1	chembl_101161	POSITIVE
CC(C)c1cc(COc2ccccc2CC(O)=O)cc(c1)-c1ccc2OC[C@@H](N)c2c1	chembl_82929	NEGATIVE
CC(C)c1cc(cc(c1)-c1ccc2OC[C@@H](N)c2c1)[C@H](O)Cn1ccc2cccc(C(O)=O)c12	chembl_232	POSITIVE
CC(C)c1nc(Nc2ccc(CC(O)=O)cc2)nc(n1)-c1ccc(Cl)s1	chembl_101835	NEGATIVE
CC(C)c1nc(Nc2ccc(F)cc2)nc(n1)-c1ccc(Cl)s1	chembl_100991	POSITIVE
CC(C)c1nc(Nc2ccc(cc2)C(O)=O)nc(n1)-c1ccc(Cl)s1	chembl_102116	POSITIVE
CC(N(C(=O)C1CC1)c1ccc(cc1)S(C)(=O)=O)c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O	chembl_101083	POSITIVE
CC(N(C(=O)c1ccc(F)cc1)c1ccc(cc1)S(C)(=O)=O)c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O	chembl_101041	POSITIVE
CC(N(C(=O)c1ccc(cc1)C(C)(C)O)c1ccc(cc1)S(C)(=O)=O)c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O	chembl_101151	POSITIVE
CC(N(C(=O)c1cccnc1)c1ccc(cc1)S(C)(=O)=O)c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O	chembl_100774	POSITIVE
CC(N(C(C)=O)c1ccc(cc1)S(C)(=O)=O)c1cccc(c1)-c1cc(cc2cccnc12)C(C)(C)S(C)(=O)=O	chembl_102089	POSITIVE
CC(c1cc(-c2cccc(\C=C(\c3ncc(s3)C(C)(C)O)c3ccc(cc3)S(C)(=O)=O)c2)c2ncccc2c1)S(C)(=O)=O	chembl_101136	POSITIVE
CC1(C)CC(=O)N(CC(=O)N2CCC(CC2)N2N=C([C@H]3CC=CC[C@H]3C2=O)c2ccc(F)cc2)C(=O)C1	chembl_102310	POSITIVE
CC1(C)CC(=O)N(CC(=O)N2CCC(CC2)N2N=C([C@H]3CC=CC[C@H]3C2=O)c2ccc(OC(F)F)c(OC(F)F)c2)C(=O)C1	chembl_102500	POSITIVE
CC1(C)CCc2c(C1)c1c(nc2-c2ccco2)sc2c(NCCN3CCOCC3)ncnc12	chembl_101679	POSITIVE
