parentised_smiles	ID	class_label
Brc1ccc(COc2ccc(CC3SC(=O)NC3=O)cc2)cc1	chembl_106939	NEGATIVE
Brc1ccc(OCc2cccc(c2)C(=O)Nn2cc(cn2)N(=O)=O)cc1	chembl_105965	NEGATIVE
Brc1cccc(COc2ccc(CC3SC(=O)NC3=O)cc2)c1	chembl_107513	NEGATIVE
C=CCn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc12	chembl_107572	NEGATIVE
CC(=O)Nc1cc(ccc1OCCCOc1ccc2[C@H](CC(O)=O)CCc2c1)-n1ccnn1	chembl_106189	NEGATIVE
CC(=O)c1ccc(O[C@@H](Cc2ccccc2)C(O)=O)cc1	chembl_108040	NEGATIVE
CC(=O)c1ccccc1N[C@@H](Cc1ccc(OCCc2nc(oc2C)-c2ccccc2)cc1)C(O)=O	chembl_107061	POSITIVE
CC(=O)c1sc(nc1C)-c1ccc(OCCCOc2ccc3[C@H](CC(O)=O)CCc3c2)cc1	chembl_106733	POSITIVE
CC(=O)c1sc(nc1C)-c1ccc(OCCCOc2ccc3[C@H](CC(O)=O)CCc3c2)nc1	chembl_106482	POSITIVE
CC(C(=O)OCc1ccc(CC(SCCc2ccc(F)cc2)C(O)=O)cc1)c1ccccc1	chembl_106654	NEGATIVE
CC(C)(C)C1(Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1)C(O)=O	chembl_106021	POSITIVE
CC(C)(C)c1ccc(CNC(=O)c2ccc(NC(=O)c3cccc(CN4[C@@H](Cc5ccccc5)COC4=O)c3)cc2)cc1	chembl_106497	POSITIVE
CC(C)(C)c1ccc(CNC(=O)c2ccc(NC(=O)c3cccc(CN4[C@H](Cc5ccccc5)COC4=O)c3)cc2)cc1	chembl_107129	POSITIVE
CC(C)(C)c1ccc(OCCCOc2ccc3CC[C@@](C)(Oc3c2)C(O)=O)c(Cl)c1	chembl_107152	POSITIVE
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1ccc(Br)c(c1)C(O)=O	chembl_108041	NEGATIVE
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1ccc(Cl)c(c1)C(O)=O	chembl_107246	NEGATIVE
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1cccc(CC(O)=O)c1	chembl_107608	NEGATIVE
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1cccc(CCC(O)=O)c1	chembl_105852	NEGATIVE
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1cccc(c1)C(O)=O	chembl_106916	POSITIVE
CC(C)(CCCOc1ccc(Oc2ccccc2)cc1)C(O)=O	chembl_106720	NEGATIVE
CC(C)(CCCOc1ccc(\C=C\c2ccc(Cl)cc2)cc1)C(O)=O	chembl_106697	POSITIVE
