parentised_smiles	ID	class_label
Brc1c(sc2ccccc12)C(=O)NCCc1ccccc1	chembl_113956	NEGATIVE
Brc1c(sc2ccccc12)C(=O)NCc1ccccc1	chembl_113495	NEGATIVE
Brc1ccc(Cn2cc(COc3ccc(\C=C4/SC(=O)NC4=O)cc3)nn2)cc1	chembl_113040	POSITIVE
Brc1ccc(Cn2cc(COc3ccc(\C=C4/SC(=S)NC4=O)cc3)nn2)cc1	chembl_112783	POSITIVE
Brc1ccc(NC(=O)c2c(\N=C\c3ccccc3)c(C#N)c3CCCn23)cc1	chembl_113600	POSITIVE
Brc1ccc(NC(=O)c2c(\N=C\c3cccnc3)c(C#N)c3CCCn23)cc1	chembl_113038	POSITIVE
Brc1ccc(NC(=O)c2c(\N=C\c3ccco3)c(C#N)c3CCCn23)cc1	chembl_110440	POSITIVE
Brc1ccc(NC(=O)c2c(\N=C\c3cccs3)c(C#N)c3CCCn23)cc1	chembl_112423	POSITIVE
Brc1ccc(Nc2ccccc2C(=O)NCCc2c[nH]c3ccccc23)cc1	chembl_112821	POSITIVE
Brc1ccc(OCCOc2nc3ccccc3s2)c(Br)c1	chembl_110177	POSITIVE
Brc1ccc(OCCOc2nc3ccccc3s2)cc1	chembl_110720	POSITIVE
Brc1ccc(Oc2ccc(OCCN3CCCC3)cc2)cc1	chembl_113716	POSITIVE
Brc1ccc(\C=N\Nc2nnc(o2)-c2ccncc2)cc1	chembl_113655	POSITIVE
Brc1ccc(cc1)-c1nn(cc1-c1nnc(o1)-c1ccncc1)-c1ccccc1	chembl_112176	NEGATIVE
Brc1ccc(cc1)-c1nnc(CSc2nnc(o2)-c2ccncc2)o1	chembl_111643	POSITIVE
Brc1ccc(cc1)-n1c(SCC#C)nc2ccccc2c1=O	chembl_113068	POSITIVE
Brc1ccc(cc1)-n1c(SCc2cn(nn2)-c2ccccc2)nc2ccccc2c1=O	chembl_112927	POSITIVE
Brc1ccc(cc1)-n1cc(COc2ccc(\C=C3/SC(=O)NC3=O)cc2)nn1	chembl_113637	POSITIVE
Brc1ccc(cc1)-n1cc(COc2ccc(\C=C3/SC(=S)NC3=O)cc2)nn1	chembl_113671	POSITIVE
