parentised_smiles	ID	class_label
Brc1cc(Br)cc(COCC(N2CCNCC2)c2ccccc2)c1	chembl_118657	POSITIVE
Brc1cc(Br)cc(COC[C@@H](N2CCNCC2)c2ccccc2)c1	chembl_120660	POSITIVE
Brc1cc(Br)cc(COC[C@H](N2CCNCC2)c2ccccc2)c1	chembl_118990	POSITIVE
Brc1cc(Br)cc(c1)C(=O)N1CC[C@@H](C[C@H]1Cc1ccccc1)NCc1ccnc2ccccc12	chembl_119559	POSITIVE
Brc1cc(I)cc(COCC(N2CCNCC2)c2ccccc2)c1	chembl_120397	POSITIVE
Brc1ccccc1CNC(=S)N1CCC[C@H]1C(=O)NC(c1ccccc1)c1ccccc1	chembl_119313	NEGATIVE
Brc1ccccc1COC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1	chembl_120416	POSITIVE
Brc1cncc(COCC2(CCNCC2)c2ccccc2)c1	chembl_79535	NEGATIVE
C(Cc1ccccc1)N[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1	chembl_120265	NEGATIVE
C(NC1C2C3CCCC2CN(C3)[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_120703	NEGATIVE
C(NC1C2CC3CCC(C2)N3[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_119244	POSITIVE
C(NC1C2CC3CCCC(C2)N3[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_119135	NEGATIVE
C(N[C@H]1C2C3CCCC2CN(C3)[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_119264	NEGATIVE
C(N[C@H]1C2CC3CCC(C2)N3[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_118654	POSITIVE
C(N[C@H]1C2CC3CCCC(C2)N3[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_120011	NEGATIVE
C(N[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_119651	POSITIVE
C(OC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1)c1cccc(Oc2ccccc2)c1	chembl_120415	POSITIVE
C(OC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_119989	NEGATIVE
C(OCC1(CCNCC1)c1ccccc1)c1ccccc1	chembl_119891	NEGATIVE
C(O[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_119654	POSITIVE
C1COC2(CCC(CO2)c2ccccc2)C(N1)c1ccccc1	chembl_119795	NEGATIVE
C1OC2(C[C@H]1c1ccccc1)CCCN[C@H]2c1ccccc1	chembl_119598	NEGATIVE
